Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
484	2	TULL 	V.OLD	Oh_UPP	BD1	8.38	292.13	283.75	67.11	58.73	0	500	2.170176212	0	0.11746	0.11746	383.1431977
485	2	TULL 	V.OLD	Oh_UPP	BD2	8.84	298.85	290.01	74.02	65.18	0	500	2.170176212	0	0.13036	0.13036	344.9370973
486	2	TULL 	V.OLD	Oh_UPP	BD3	8.81	257.24	248.43	55.51	46.7	0	500	2.170176212	0	0.0934	0.0934	431.9700214
487	2	TULL 	V.OLD	Oh_LOW	BD1	8.74	331.14	322.4	76.69	67.95	0	500	2.170176212	0	0.1359	0.1359	374.4665195
488	3	TULL 	OLD	Oh_UPP 	BD1	8.8	346.38	337.58	69.56	60.76	0	500	2.170176212	0	0.12152	0.12152	455.5957867
489	3	TULL 	OLD	Oh_UPP	BD1	8.78	252.54	243.76	53.08	44.3	0	500	2.170176212	0	0.0886	0.0886	450.248307
490	3	TULL 	OLD	Oh_UPP 	BD2	8.79	255.15	246.36	55.89	47.1	0	500	2.170176212	0	0.0942	0.0942	423.0573248
491	3	TULL 	OLD	Oh_UPP	BD2	8.83	327.13	318.3	69.66	60.83	0	500	2.170176212	0	0.12166	0.12166	423.2615486
NA	16	BADA	OLD	Oh_LOW	BD1	NA	NA	576.03	0	112.33	0	850	2.170176212	0	0.132152941	0.132152941	412.8015668
NA	5	MOR	OLD	Oh_LOW	BD1	NA	NA	513.99	0	141.89	0	850	2.170176212	0	0.166929412	0.166929412	262.2454014
NA	19	RYV	OLD	Oh_LOW	BD1	NA	NA	511.08	0	122.58	0	850	2.170176212	0	0.144211765	0.144211765	316.9358786
NA	20	RYV	OLD	Oh_LOW	BD1	NA	NA	512.3599999	0	110.35	0	850	2.170176212	0	0.129823529	0.129823529	364.3044856
NA	16	BADA	OLD	Oh_UPP	BD1	NA	NA	303.76	0	52.63	0	850	2.170176212	0	0.061917647	0.061917647	477.1613148
NA	5	MOR	OLD	Oh_UPP	BD1	NA	NA	435.66	0	125.07	0	850	2.170176212	0	0.147141176	0.147141176	248.3329336
NA	19	RYV	OLD	Oh_UPP	BD1	NA	NA	281.96	0	63.43	0	850	2.170176212	0	0.074623529	0.074623529	344.5215198
NA	20	RYV	OLD	Oh_UPP	BD1	NA	NA	423.81	0	80.18	0	850	2.170176212	0	0.094329412	0.094329412	428.5732103
NA	17	BADA	V.OLD	Oh_LOW	BD1	NA	NA	478.09	0	106.71	0	850	2.170176212	0	0.125541176	0.125541176	348.0273639
NA	15	BADA 	V.OLD	Oh_LOW	BD1	NA	NA	553.43	0	74.16	0	850	2.170176212	0	0.087247059	0.087247059	646.2648328
NA	6	MOR	V.OLD	Oh_LOW	BD1	NA	NA	450.36	0	121.72	0	850	2.170176212	0	0.1432	0.1432	269.9967138
NA	18	RYV	V.OLD	Oh_LOW	BD1	NA	NA	610.51	0	159.39	0	850	2.170176212	0	0.187517647	0.187517647	283.0290482
NA	17	BADA	V.OLD	Oh_UPP	BD1	NA	NA	406.54	0	59.53	0	850	2.170176212	0	0.070035294	0.070035294	582.9161767
NA	15	BADA 	V.OLD	Oh_UPP	BD1	NA	NA	346.03	0	48.32	0	850	2.170176212	0	0.056847059	0.056847059	616.1216887
NA	6	MOR	V.OLD	Oh_UPP	BD1	NA	NA	426.05	0	102.34	0	850	2.170176212	0	0.1204	0.1204	316.3083838
NA	18	RYV	V.OLD	Oh_UPP	BD1	NA	NA	403.4	0	84.63	0	850	2.170176212	0	0.099564706	0.099564706	376.6631218
NA	14	COYL	YNG	Oh_LOW	BD1	NA	NA	496.76	0	149.97	0	850	2.170176212	0	0.176435294	0.176435294	231.2395812
NA	10	DRUM 	YNG	Oh_LOW	BD1	NA	NA	566.83	0	168.01	0	850	2.170176212	0	0.197658824	0.197658824	237.3787275
NA	12	L.EIL	YNG	Oh_LOW	BD1	NA	NA	511.6	0	117.71	0	850	2.170176212	0	0.138482353	0.138482353	334.6274743
NA	13	L.EIL	YNG	Oh_LOW	BD1	NA	NA	514.12	0	98.61	0	850	2.170176212	0	0.116011765	0.116011765	421.3670013
NA	14	COYL	YNG	Oh_UPP	BD1	NA	NA	701.23	0	110.27	0	850	2.170176212	0	0.129729412	0.129729412	535.9209214
NA	9	DRUM 	YNG	Oh_UPP	BD1	NA	NA	561.15	0	94.58	0	850	2.170176212	0	0.111270588	0.111270588	493.3072531
NA	10	DRUM 	YNG	Oh_UPP	BD1	NA	NA	657.56	0	126.57	0	850	2.170176212	0	0.148905882	0.148905882	419.5227937
NA	12	L.EIL	YNG	Oh_UPP	BD1	NA	NA	528.78	0	102.7	0	850	2.170176212	0	0.120823529	0.120823529	414.8782863
NA	13	L.EIL	YNG	Oh_UPP	BD1	NA	NA	423.26	0	75.28	0	850	2.170176212	0	0.088564706	0.088564706	462.2476089
NA	16	BADA	OLD	Oh_LOW	BD2	NA	NA	464.56	0	88.93	0	850	2.170176212	0	0.104623529	0.104623529	422.3883954
NA	5	MOR	OLD	Oh_LOW	BD2	NA	NA	477.35	0	135.74	0	850	2.170176212	0	0.159694118	0.159694118	251.6649477
NA	19	RYV	OLD	Oh_LOW	BD2	NA	NA	492.7	0	113.75	0	850	2.170176212	0	0.133823529	0.133823529	333.1428571
NA	20	RYV	OLD	Oh_LOW	BD2	NA	NA	518.59	0	112.08	0	850	2.170176212	0	0.131858824	0.131858824	362.6962884
NA	16	BADA	OLD	Oh_UPP	BD2	NA	NA	417.53	0	75.97	0	850	2.170176212	0	0.089376471	0.089376471	449.5985257
NA	5	MOR	OLD	Oh_UPP	BD2	NA	NA	429.73	0	109.26	0	850	2.170176212	0	0.128541176	0.128541176	293.3095369
NA	19	RYV	OLD	Oh_UPP	BD2	NA	NA	278.45	0	61.35	0	850	2.170176212	0	0.072176471	0.072176471	353.8712306
NA	20	RYV	OLD	Oh_UPP	BD2	NA	NA	459.7099999	0	81.88	0	850	2.170176212	0	0.096329412	0.096329412	461.4435758
NA	17	BADA	V.OLD	Oh_LOW	BD2	NA	NA	514.52	0	98.56	0	850	2.170176212	0	0.115952941	0.115952941	422.0373377
NA	15	BADA 	V.OLD	Oh_LOW	BD2	NA	NA	485.42	0	67.39	0	850	2.170176212	0	0.079282353	0.079282353	620.3145867
NA	6	MOR	V.OLD	Oh_LOW	BD2	NA	NA	474.44	0	132.03	0	850	2.170176212	0	0.155329412	0.155329412	259.3425737
NA	18	RYV	V.OLD	Oh_LOW	BD2	NA	NA	557.63	0	122.91	0	850	2.170176212	0	0.1446	0.1446	353.6896916
NA	17	BADA	V.OLD	Oh_UPP	BD2	NA	NA	430.13	0	67.87	0	850	2.170176212	0	0.079847059	0.079847059	533.7557094
NA	15	BADA 	V.OLD	Oh_UPP	BD2	NA	NA	285.58	0	41.38	0	850	2.170176212	0	0.048682353	0.048682353	590.1401643
NA	6	MOR	V.OLD	Oh_UPP	BD2	NA	NA	428.39	0	101.52	0	850	2.170176212	0	0.119435294	0.119435294	321.9759653
NA	18	RYV	V.OLD	Oh_UPP	BD2	NA	NA	464.91	0	97.11	0	850	2.170176212	0	0.114247059	0.114247059	378.7457522
NA	14	COYL	YNG	Oh_LOW	BD2	NA	NA	712.77	0	182.09	0	850	2.170176212	0	0.214223529	0.214223529	291.4382997
NA	10	DRUM 	YNG	Oh_LOW	BD2	NA	NA	622.73	0	138.72	0	850	2.170176212	0	0.1632	0.1632	348.9114764
NA	12	L.EIL	YNG	Oh_LOW	BD2	NA	NA	613.94	0	121.38	0	850	2.170176212	0	0.1428	0.1428	405.799967
NA	13	L.EIL	YNG	Oh_LOW	BD2	NA	NA	516.56	0	139.88	0	850	2.170176212	0	0.164564706	0.164564706	269.2879611
NA	14	COYL	YNG	Oh_UPP	BD2	NA	NA	606.76	0	115.63	0	850	2.170176212	0	0.136035294	0.136035294	424.7427138
NA	9	DRUM 	YNG	Oh_UPP	BD2	NA	NA	607.66	0	100.3	0	850	2.170176212	0	0.118	0.118	505.8424726
NA	10	DRUM 	YNG	Oh_UPP	BD2	NA	NA	684.12	0	122.93	0	850	2.170176212	0	0.144623529	0.144623529	456.511836
NA	12	L.EIL	YNG	Oh_UPP	BD2	NA	NA	453.66	0	91.08	0	850	2.170176212	0	0.107152941	0.107152941	398.0895916
NA	13	L.EIL	YNG	Oh_UPP	BD2	NA	NA	408.5	0	83.74	0	850	2.170176212	0	0.098517647	0.098517647	387.8194411
NA	16	BADA	OLD	Oh_LOW	BD3	NA	NA	575.68	0	131.17	0	850	2.170176212	0	0.154317647	0.154317647	338.8808417
NA	5	MOR	OLD	Oh_LOW	BD3	NA	NA	324.59	0	117.47	0	850	2.170176212	0	0.1382	0.1382	176.3173576
NA	19	RYV	OLD	Oh_LOW	BD3	NA	NA	440.07	0	106.2	0	850	2.170176212	0	0.124941176	0.124941176	314.3785311
NA	20	RYV	OLD	Oh_LOW	BD3	NA	NA	583.09	0	142.49	0	850	2.170176212	0	0.167635294	0.167635294	309.2146817
NA	16	BADA	OLD	Oh_UPP	BD3	NA	NA	388.12	0	73.04	0	850	2.170176212	0	0.085929412	0.085929412	431.3800657
NA	5	MOR	OLD	Oh_UPP	BD3	NA	NA	463.69	0	137.64	0	850	2.170176212	0	0.161929412	0.161929412	236.8860796
NA	19	RYV	OLD	Oh_UPP	BD3	NA	NA	261.72	0	63.46	0	850	2.170176212	0	0.074658824	0.074658824	312.4172707
NA	20	RYV	OLD	Oh_UPP	BD3	NA	NA	348.68	0	68.92	0	850	2.170176212	0	0.081082353	0.081082353	405.9199071
NA	17	BADA	V.OLD	Oh_LOW	BD3	NA	NA	428.87	0	68.34	0	850	2.170176212	0	0.0804	0.0804	527.5534094
NA	15	BADA 	V.OLD	Oh_LOW	BD3	NA	NA	371.06	0	51.27	0	850	2.170176212	0	0.060317647	0.060317647	623.7370782
NA	6	MOR	V.OLD	Oh_LOW	BD3	NA	NA	333.47	0	87.39	0	850	2.170176212	0	0.102811765	0.102811765	281.5882824
NA	18	RYV	V.OLD	Oh_LOW	BD3	NA	NA	550.44	0	153.1	0	850	2.170176212	0	0.180117647	0.180117647	259.5297191
NA	17	BADA	V.OLD	Oh_UPP	BD3	NA	NA	334.78	0	51.59	0	850	2.170176212	0	0.060694118	0.060694118	548.9242101
NA	15	BADA 	V.OLD	Oh_UPP	BD3	NA	NA	373.43	0	50.74	0	850	2.170176212	0	0.059694118	0.059694118	635.9676784
NA	6	MOR	V.OLD	Oh_UPP	BD3	NA	NA	450.85	0	102.25	0	850	2.170176212	0	0.120294118	0.120294118	340.9290954
NA	18	RYV	V.OLD	Oh_UPP	BD3	NA	NA	450.51	0	93.14	0	850	2.170176212	0	0.109576471	0.109576471	383.6912175
NA	14	COYL	YNG	Oh_LOW	BD3	NA	NA	632.5	0	151.21	0	850	2.170176212	0	0.177894118	0.177894118	318.292441
NA	10	DRUM 	YNG	Oh_LOW	BD3	NA	NA	504.91	0	109.59	0	850	2.170176212	0	0.128929412	0.128929412	360.7263436
NA	12	L.EIL	YNG	Oh_LOW	BD3	NA	NA	594.52	0	130.49	0	850	2.170176212	0	0.153517647	0.153517647	355.6057935
NA	13	L.EIL	YNG	Oh_LOW	BD3	NA	NA	631.53	0	133.94	0	850	2.170176212	0	0.157576471	0.157576471	371.5021651
NA	14	COYL	YNG	Oh_UPP	BD3	NA	NA	586.75	0	114.41	0	850	2.170176212	0	0.1346	0.1346	412.8485272
NA	9	DRUM 	YNG	Oh_UPP	BD3	NA	NA	648.71	0	103.23	0	850	2.170176212	0	0.121447059	0.121447059	528.4122833
NA	10	DRUM 	YNG	Oh_UPP	BD3	NA	NA	569.44	0	103.43	0	850	2.170176212	0	0.121682353	0.121682353	450.5559315
NA	12	L.EIL	YNG	Oh_UPP	BD3	NA	NA	563.16	0	110.55	0	850	2.170176212	0	0.130058824	0.130058824	409.4165536
NA	13	L.EIL	YNG	Oh_UPP	BD3	NA	NA	255.37	0	46.47	0	850	3.170176212	0	0.054670588	0.054670588	449.5373359
NA	1	TULL 	GRASS	Ah_LOW	BD1	8.45	126.6	118.15	94.49	86.04	14.13	100	2.170176212	6.51099202	0.7191	0.769181335	37.31985123
NA	1	TULL 	GRASS	Ah_LOW	BD2	8.85	133.91	125.06	96.76	87.91	12.22	100	2.170176212	5.630879157	0.7569	0.80206321	42.25912865
NA	1	TULL 	GRASS	Ah_LOW	BD3	8.44	154.43	145.99	114.9	106.46	12.07	100	2.170176212	5.561760346	0.9439	0.999489194	37.13131693
NA	1	TULL 	GRASS	Ah_LOW	BD4	8.77	154.15	145.38	120.55	111.78	38.76	100	2.170176212	17.86030083	0.7302	0.888973307	30.05904455
NA	4	MOR	GRASS	Ah_LOW	BD1	8.76	135.74	126.98	92.77	84.01	22.47	100	2.170176212	10.35399793	0.6154	0.686477908	51.14867278
NA	4	MOR	GRASS	Ah_LOW	BD2	8.72	142.72	134	106.71	97.99	49.11	100	2.170176212	22.62949881	0.4888	0.631765327	36.74864782
NA	4	MOR	GRASS	Ah_LOW	BD3	8.34	121.98	113.64	93.61	85.27	37.25	100	2.170176212	17.1645048	0.4802	0.57970318	33.27078691
NA	4	MOR	GRASS	Ah_LOW	BD4	8.75	127.85	119.1	93.15	84.4	24.6	100	2.170176212	11.33548505	0.598	0.674452457	41.11374408
NA	4	MOR	GRASS	Ah_LOW	BD5	8.75	113.82	105.07	87.6	78.85	33.68	100	2.170176212	15.51947709	0.4517	0.534679456	33.25301205
NA	7	DRUM 	GRASS	Ah_LOW	BD1	8.74	114.39	105.65	81.28	72.54	34.92	100	2.170176212	16.09085926	0.3762	0.448342096	45.64378274
NA	7	DRUM 	GRASS	Ah_LOW	BD2	8.66	141.3	132.64	95.73	87.07	15.34	100	2.170176212	7.068550431	0.7173	0.771859261	52.33719995
NA	7	DRUM 	GRASS	Ah_LOW	BD3	8.82	131.2	122.38	72.6	63.78	0	100	2.170176212	0	0.6378	0.6378	91.87833177
NA	7	DRUM 	GRASS	Ah_LOW	BD4	8.83	125.67	116.84	79.16	70.33	11.31	100	2.170176212	5.211558369	0.5902	0.622649755	66.13109626
NA	7	DRUM 	GRASS	Ah_LOW	BD5	8.76	134.16	125.4	97.66	88.9	31.83	100	2.170176212	14.66701175	0.5707	0.668791767	41.05736783
NA	1	TULL 	GRASS	Ah_LOW	BD5	8.35	148.99	140.64	114.33	105.98	18.46	100	2.170176212	8.506221705	0.8752	0.956567776	32.70428383
