Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
251	12	L.EIL	YNG	Bhs	BD2	8.83	98.09	89.26	77.95	69.12	31.21	100	2.170176212	14.38132066	0.3791	0.44277721	29.13773148
252	12	L.EIL	YNG	Bhs	BD3	8.83	116.04	107.21	84.69	75.86	22.2	100	2.170176212	10.22958407	0.5366	0.597747035	41.32612708
253	12	L.EIL	YNG	Bhs	BD4	8.84	127.81	118.97	96.41	87.57	25.6	100	2.170176212	11.79627712	0.6197	0.702578054	35.85702866
254	12	L.EIL	YNG	Bhs	BD5	8.44	110.14	101.7	82.28	73.84	20.22	100	2.170176212	9.317215757	0.5362	0.591291946	37.73022752
255	12	L.EIL	YNG	E	BD1	8.45	175.84	167.39	150.5	142.05	41.19	100	2.170176212	18.98002557	1.0086	1.244878201	17.83878916
256	12	L.EIL	YNG	E	BD2	8.76	156.05	147.29	129.04	120.28	40.52	100	2.170176212	18.67129488	0.7976	0.980711544	22.45593615
257	12	L.EIL	YNG	E	BD3	8.85	140.75	131.9	116	107.15	33.76	100	2.170176212	15.55634045	0.7339	0.869100183	23.0984601
258	12	L.EIL	YNG	E	BD4	0.32	171.36	171.04	145.71	145.39	33.18	100	2.170176212	15.28908105	1.1221	1.324622627	17.64220373
259	12	L.EIL	YNG	E	BD5	8.82	135.99	127.17	116.21	107.39	26.38	100	2.170176212	12.15569494	0.8101	0.922199794	18.41884719
260	9	DRUM 	YNG	Bhs	BD1	8.8	135.08	126.28	101.82	93.02	25.16	100	2.170176212	11.59352861	0.6786	0.767590867	35.75575145
261	9	DRUM 	YNG	Bhs	BD2	8.76	193.3	184.54	171.39	162.63	133.53	100	2.170176212	61.52956578	0.291	0.756425047	13.47229908
262	9	DRUM 	YNG	Bhs	BD3	8.32	157.74	149.42	130.04	121.72	64.05	100	2.170176212	29.51373241	0.5767	0.818173553	22.75714755
263	9	DRUM 	YNG	Bhs	BD4	8.32	115.12	106.8	92.56	84.24	13.28	100	2.170176212	6.119318757	0.7096	0.755853058	26.78062678
264	9	DRUM 	YNG	Bhs	BD5	8.66	130.32	121.66	104.24	95.58	30.8	100	2.170176212	14.19239591	0.6478	0.754944747	27.28604311
265	16	BADA	OLD	Bhs	BD1	8.75	139.18	130.43	110.16	101.41	20.78	100	2.170176212	9.575259319	0.8063	0.891680743	28.61650725
266	16	BADA	OLD	Bhs	BD2	8.63	136.72	128.09	113.99	105.36	42.73	100	2.170176212	19.68964537	0.6263	0.779849626	21.57365224
267	16	BADA	OLD	Bhs	BD3	8.69	121.81	113.12	100.66	91.97	32.84	100	2.170176212	15.13241174	0.5913	0.696732418	22.99662934
268	16	BADA	OLD	Bhs	BD4	8.3	135.62	127.32	119.3	111	59.05	100	2.170176212	27.20977203	0.5195	0.713694701	14.7027027
269	16	BADA	OLD	Bhs	BD5	8.76	166.32	157.56	149.19	140.43	75.84	100	2.170176212	34.94647097	0.6459	0.992874652	12.19824824
270	16	BADA	OLD	E	BD1	8.36	134.72	126.36	109.6	101.24	18.32	100	2.170176212	8.441710815	0.8292	0.905652571	24.81232714
271	16	BADA	OLD	E	BD2	8.74	155	146.26	124.39	115.65	16.95	100	2.170176212	7.810425672	0.987	1.070619978	26.46779075
272	16	BADA	OLD	E	BD3	8.74	141.87	133.13	114.76	106.02	27.79	100	2.170176212	12.80541177	0.7823	0.897188708	25.57064705
273	16	BADA	OLD	E	BD4	8.34	160.23	151.89	137.46	129.12	36.65	100	2.170176212	16.88802955	0.9247	1.112595448	17.63475836
274	16	BADA	OLD	E	BD5	8.72	153.28	144.56	125.88	117.16	22.2	100	2.170176212	10.22958407	0.9496	1.057809513	23.38682144
275	13	L.EIL	YNG	Bhs	BD1	8.91	112.98	104.07	95.66	86.75	26.55	100	2.170176212	12.23402959	0.602	0.68591505	19.96541787
276	13	L.EIL	YNG	Bhs	BD2	8.69	158.22	149.53	126.53	117.84	41.43	100	2.170176212	19.09061567	0.7641	0.944389834	26.89239647
277	13	L.EIL	YNG	Bhs	BD3	8.65	170.42	161.77	152.92	144.27	59.35	100	2.170176212	27.34800965	0.8492	1.168859925	12.13003396
278	13	L.EIL	YNG	Bhs	BD4	8.57	136.77	128.2	109.55	100.98	21.16	100	2.170176212	9.750360308	0.7982	0.884435664	26.95583284
279	13	L.EIL	YNG	Bhs	BD5	8.9	154.33	145.43	141.34	132.44	87.41	100	2.170176212	40.27783528	0.4503	0.753991424	9.808215041
280	13	L.EIL	YNG	E	BD1	8.49	155.39	146.9	125.29	116.8	16.91	100	2.170176212	7.791993989	0.9989	1.083311573	25.77054795
281	13	L.EIL	YNG	E	BD2	8.57	139.33	130.76	115.38	106.81	16.84	100	2.170176212	7.759738544	0.8997	0.975387521	22.4229941
282	13	L.EIL	YNG	E	BD3	8.7	144.09	135.39	126.82	118.12	74.47	100	2.170176212	34.31518583	0.4365	0.664537162	14.62072469
283	13	L.EIL	YNG	E	BD4	8.78	132.07	123.29	117.36	108.58	44.04	100	2.170176212	20.29328299	0.6454	0.809718458	13.54761466
284	13	L.EIL	YNG	E	BD5	9.01	134.5	125.49	115.84	106.83	44.93	100	2.170176212	20.70338793	0.619	0.780613426	17.46700365
285	17	BADA 	V.OLD	Bhs	BD1	8.99	174.99	166	148.24	139.25	30.93	100	2.170176212	14.25229888	1.0832	1.263240863	19.21005386
286	17	BADA 	V.OLD	Bhs	BD2	8.89	206.99	198.1	179.01	170.12	35.91	100	2.170176212	16.54704341	1.3421	1.608211446	16.44721373
287	17	BADA 	V.OLD	Bhs	BD3	8.83	177.1	168.27	148.42	139.59	26.71	100	2.170176212	12.30775632	1.1288	1.28722901	20.54588438
