Age	Live_vol_perc	Repeat	PI	PI proportion
14	0.486588294	12	0.07	0.035334218
14	0.486588294	12	0.00	0
14	0.486588294	12	0.00	0
15	0.511431585	12	0.00	0
15	0.511431585	12	0.00	0
15	0.511431585	12	0.00	0
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.07	0.037138245
15	0.511431585	12	0.00	0
15	0.511431585	12	0.00	0
16	0.535817895	12	0.00	0
16	0.535817895	12	0.00	0
16	0.535817895	12	0.00	0
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.07	0.038909088
16	0.535817895	12	0.00	0
16	0.535817895	12	0.00	0
17	0.559783465	12	0.00	0
17	0.559783465	12	0.00	0
17	0.559783465	12	0.00	0
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.07	0.040649377
17	0.559783465	12	0.00	0
17	0.559783465	12	0.00	0
18	0.583359711	12	0.00	0
18	0.583359711	12	0.00	0
18	0.583359711	12	0.00	0
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.07	0.042361396
18	0.583359711	12	0.00	0
18	0.583359711	12	0.00	0
19	0.606574096	12	0.00	0
19	0.606574096	12	0.00	0
19	0.606574096	12	0.00	0
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.07	0.044047138
19	0.606574096	12	0.00	0
19	0.606574096	12	0.00	0
20	0.629450811	12	0.00	0
20	0.629450811	12	0.00	0
20	0.629450811	12	0.00	0
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.07	0.045708359
20	0.629450811	12	0.00	0
20	0.629450811	12	0.00	0
21	0.652011306	12	0.00	0
21	0.652011306	12	0.00	0
21	0.652011306	12	0.00	0
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.07	0.047346618
21	0.652011306	12	0.00	0
21	0.652011306	12	0.00	0
22	0.674274716	12	0.00	0
22	0.674274716	12	0.00	0
22	0.674274716	12	0.00	0
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.07	0.048963303
22	0.674274716	12	0.00	0
22	0.674274716	12	0.00	0
23	0.696258207	12	0.00	0
23	0.696258207	12	0.00	0
23	0.696258207	12	0.00	0
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.07	0.050559662
23	0.696258207	12	0.00	0
23	0.696258207	12	0.00	0
24	0.71797725	12	0.00	0
24	0.71797725	12	0.00	0
24	0.71797725	12	0.00	0
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.07	0.052136817
24	0.71797725	12	0.07	0.052136817
