"Peat_amount"	"Layer"	"Year"	"DPM_pool_accummulated_SOC"	"RPM_pool_accummulated_SOC"	"BIO_pool_accummulated_SOC"	"HUM_pool_accummulated_SOC"	"Total_SOC_accummulated"	"SOC_stock_with_accummulation"
"Minus50"	"F"	2	7.56583333333333e-05	0.0316496111666667	0.00151483941666667	0.0400869634166667	0.0733270833333333	27.5353281225
"Plus50"	"F"	2	7.57333333333333e-05	0.0316498601666667	0.00151483166666667	0.0400866505833333	0.0733270833333333	27.5360168866667
"Mean"	"H"	2	0.00152775166666667	0.586206479333333	0.02834050875	0.39792317675	1.01399791666667	158.9225183
"Minus50"	"H"	2	0.00152710583333333	0.58620582175	0.0283406480833333	0.397924340833333	1.01399791666667	158.920066308333
"Plus50"	"H"	2	0.00152840066666667	0.58620866275	0.0283404343333333	0.397920418833333	1.01399791666667	158.924953275
"Mean"	"F"	3	7.8075e-05	0.0436357395833333	0.00211323175	0.0563500405833333	0.102177083333333	27.1241326775
"Minus50"	"F"	3	7.79833333333333e-05	0.0436353401666667	0.00211324183333333	0.0563505218333333	0.102177083333333	27.1234475516667
"Plus50"	"F"	3	7.8175e-05	0.0436361515833333	0.002113222	0.0563495463333333	0.102177083333333	27.1248174366667
"Mean"	"H"	3	0.00158725533333333	0.811103192666667	0.03966349225	0.56059397625	1.41294791666667	156.185005933333
"Minus50"	"H"	3	0.00158557716666667	0.8110995	0.0396638371666667	0.56059900225	1.41294791666667	156.1801301
"Plus50"	"H"	3	0.00158893691666667	0.811109023333333	0.0396632395833333	0.56058671675	1.41294791666667	156.189858416667
"Mean"	"F"	4	7.88083333333333e-05	0.055355268	0.0027105825	0.0728824245	0.131027083333333	26.7287646983333
"Minus50"	"F"	4	7.86416666666667e-05	0.05535434875	0.00271060091666667	0.0728834968333333	0.131027083333333	26.7276590166667
"Plus50"	"F"	4	7.89833333333333e-05	0.0553562031666667	0.0027105645	0.0728813355	0.131027083333333	26.7298699233333
"Mean"	"H"	4	0.00160634583333333	1.03260335325	0.0510415529166667	0.726646664333333	1.81189791666667	153.557645716667
"Minus50"	"H"	4	0.00160317591666667	1.03259361266667	0.051042216	0.726658912333333	1.81189791666667	153.549776
"Plus50"	"H"	4	0.00160951908333333	1.03261585116667	0.0510410098333333	0.726631536833333	1.81189791666667	153.565485958333
"Mean"	"F"	5	7.91166666666667e-05	0.0668103919166667	0.00330608275	0.0896814854166667	0.159877083333333	26.3477953375
"Minus50"	"F"	5	7.885e-05	0.0668086460833333	0.00330611133333333	0.0896834760833333	0.159877083333333	26.346198635
"Plus50"	"F"	5	7.93916666666667e-05	0.06681215675	0.00330605516666667	0.0896794745833333	0.159877083333333	26.3493914833333
"Mean"	"H"	5	0.00161342041666667	1.25069219275	0.0624610616666667	0.896081241916667	2.21084791666667	151.026369466667
"Minus50"	"H"	5	0.00160832141666667	1.25067246266667	0.0624621636666667	0.896104968916667	2.21084791666667	151.015002
"Plus50"	"H"	5	0.00161852258333333	1.25071530275	0.0624601075	0.896053983833333	2.21084791666667	151.037701525
"Mean"	"F"	6	7.93583333333333e-05	0.078003604	0.00389905725	0.106745071833333	0.188727083333333	25.9803870316667
"Minus50"	"F"	6	7.895e-05	0.0780006605	0.00389909666666667	0.106748372583333	0.188727083333333	25.9782360208333
"Plus50"	"F"	6	7.975e-05	0.0780065700833333	0.00389901858333333	0.106741747333333	0.188727083333333	25.9825374008333
"Mean"	"H"	6	0.00161729633333333	1.46536544883333	0.0739108155833333	1.06890435608333	2.60979791666667	148.584863125
"Minus50"	"H"	6	0.00160984433333333	1.46533085333333	0.0739124841666667	1.06894473466667	2.60979791666667	148.569543441667
