Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones weight	Volume
58	15	Bada 	V.OLD	Oh. Up	BD1	8.85	130.53	121.68	27.68	18.83	NA	-10000
59	15	Bada 	V.OLD	Oh. Up	BD1	8.83	141.93	133.1	26.27	17.44	NA	-10000
60	15	Bada 	V.OLD	Oh. Up	BD2	8.91	114.6	105.69	24.05	15.14	NA	-10000
61	15	Bada 	V.OLD	Oh. Up	BD2	8.88	81.02	72.14	19.47	10.59	NA	-10000
62	15	Bada 	V.OLD	Oh. Up	BD2	8.86	116.61	107.75	24.51	15.65	NA	-10000
63	15	Bada 	V.OLD	Oh. Up	BD3	8.77	146.69	137.92	26.59	17.82	NA	-10000
64	15	Bada 	V.OLD	Oh. Up	BD3	8.8	126.97	118.17	24.13	15.33	NA	-10000
65	15	Bada 	V.OLD	Oh. Up	BD3	8.84	126.18	117.34	26.43	17.59	NA	-10000
66	15	Bada 	V.OLD	Oh. Low	BD1	8.9	209.68	200.78	35.55	26.65	NA	-10000
67	15	Bada 	V.OLD	Oh. Low	BD1	8.91	192.33	183.42	33.69	24.78	NA	-10000
68	15	Bada 	V.OLD	Oh. Low	BD1	8.92	178.15	169.23	31.65	22.73	NA	-10000
69	15	Bada 	V.OLD	Oh. Low	BD2	8.89	146.4	137.51	27.64	18.75	NA	-10000
70	15	Bada 	V.OLD	Oh. Low	BD2	8.88	161.5	152.62	30.26	21.38	NA	-10000
71	15	Bada 	V.OLD	Oh. Low	BD2	8.84	204.13	195.29	36.1	27.26	NA	-10000
72	15	Bada 	V.OLD	Oh. Low	BD3	8.78	106.54	97.76	22.22	13.44	NA	-10000
73	15	Bada 	V.OLD	Oh. Low	BD3	8.81	128.61	119.8	25.94	17.13	NA	-10000
74	15	Bada 	V.OLD	Oh. Low	BD3	8.84	162.34	153.5	29.54	20.7	NA	-10000
75	15	Bada 	V.OLD	E	BD1	8.39	160.51	152.12	125.46	117.07	10.84	100
76	15	Bada 	V.OLD	E	BD2	8.97	154.19	145.22	128.08	119.11	27.12	100
77	15	Bada 	V.OLD	E	BD3	9	136.7	127.7	109.94	100.94	9.93	100
78	15	Bada 	V.OLD	E	BD4	8.94	151.58	142.64	124.43	115.49	21.76	100
79	15	Bada 	V.OLD	E	BD5	8.85	174.5	165.65	143.2	134.35	22.88	100
80	15	Bada 	V.OLD	Bhs	BD1	8.81	145.49	136.68	11.64	2.83	19.6	100
81	15	Bada 	V.OLD	Bhs	BD2	8.9	143.46	134.56	113.67	104.77	16.73	100
82	15	Bada 	V.OLD	Bhs	BD3	8.93	145.09	136.16	111	102.07	2.1	100
83	15	Bada 	V.OLD	Bhs	BD4	8.94	131.04	122.1	96.31	87.37	4.22	100
84	15	Bada 	V.OLD	Bhs	BD5	8.39	121.99	113.6	93.71	85.32	13.2	100
85	14	Coyl.	YNG	Oh. Low	BD1	8.65	22.49	13.84	53.34	44.69	NA	-10000
86	14	Coyl.	YNG	Oh. Low	BD1	8.7	257.28	248.58	61.52	52.82	NA	-10000
87	14	Coyl.	YNG	Oh. Low	BD1	8.94	243.28	234.34	61.4	52.46	NA	-10000
88	14	Coyl.	YNG	Oh. Low	BD2	8.99	262.86	253.87	83.53	74.54	NA	-10000
89	14	Coyl.	YNG	Oh. Low	BD2	8.96	250.21	241.25	65.89	56.93	NA	-10000
90	14	Coyl.	YNG	Oh. Low	BD2	9.01	226.66	217.65	59.63	50.62	NA	-10000
91	14	Coyl.	YNG	Oh. Low	BD3	8.99	216.37	207.38	62.21	53.22	NA	-10000
92	14	Coyl.	YNG	Oh. Low	BD3	8.84	240.93	232.09	64.46	55.62	NA	-10000
93	14	Coyl.	YNG	Oh. Low	BD3	8.83	201.86	193.03	51.2	42.37	NA	-10000
94	14	Coyl.	YNG	E	BD1	8.87	150.26	141.39	122.68	113.81	3.47	100
95	14	Coyl.	YNG	E	BD2	8.88	171.28	162.4	138.69	129.81	8.17	100
96	14	Coyl.	YNG	E	BD3	8.9	165.27	156.37	132.22	123.32	21.33	100
97	14	Coyl.	YNG	E	BD4	8.88	167.88	159	138.24	129.36	48.03	100
98	14	Coyl.	YNG	E	BD5	8.74	177.66	168.92	149.38	140.64	52.23	100
99	14	Coyl.	YNG	Bhs	BD1	8.8	163.94	155.14	127.98	119.18	56.13	100
100	14	Coyl.	YNG	Bhs	BD2	8.83	184.81	175.98	168.18	159.35	76.13	100
101	14	Coyl.	YNG	Bhs	BD3	8.59	184.86	176.27	169.76	161.17	78.72	100
102	14	Coyl.	YNG	Bhs	BD4	8.81	171.22	162.41	122.23	113.42	36.16	100
103	14	Coyl.	YNG	Bhs	BD5	8.76	174.44	165.68	159.27	150.51	76.61	100
205	12	L.Eil	YNG	Oh. Up	BD1	8.74	181.4	172.66	42.91	34.17	NA	-10000
206	12	L.Eil	YNG	Oh. Up	BD1	8.87	176.28	167.41	41.95	33.08	NA	-10000
207	12	L.Eil	YNG	Oh. Up	BD1	8.82	197.53	188.71	44.27	35.45	NA	-10000
208	12	L.Eil	YNG	Oh. Up	BD2	8.84	152.45	143.61	37.94	29.1	NA	-10000
209	12	L.Eil	YNG	Oh. Up	BD2	8.79	172.96	164.17	41.7	32.91	NA	-10000
210	12	L.Eil	YNG	Oh. Up	BD2	8.78	154.66	145.88	37.85	29.07	NA	-10000
211	12	L.Eil	YNG	Oh. Up	BD3	8.78	237.41	228.63	53.05	44.27	NA	-10000
212	12	L.Eil	YNG	Oh. Up	BD3	8.74	207.64	198.9	47.81	39.07	NA	-10000
213	12	L.Eil	YNG	Oh. Up	BD3	8.5	144.13	135.63	35.71	27.21	NA	-10000
214	12	L.Eil	YNG	Oh. Low	BD1	8.76	126.26	117.5	44.57	35.81	NA	-10000
215	12	L.Eil	YNG	Oh. Low	BD1	8.8	205	196.2	49.63	40.83	NA	-10000
216	12	L.Eil	YNG	Oh. Low	BD1	8.78	206.68	197.9	49.85	41.07	NA	-10000
217	12	L.Eil	YNG	Oh. Low	BD2	8.74	228.24	219.5	50.99	42.25	NA	-10000
218	12	L.Eil	YNG	Oh. Low	BD2	8.77	188.54	179.77	44.56	35.79	NA	-10000
219	12	L.Eil	YNG	Oh. Low	BD2	8.83	223.5	214.67	52.17	43.34	NA	-10000
220	12	L.Eil	YNG	Oh. Low	BD3	8.38	165.12	156.74	41.98	33.6	NA	-10000
221	12	L.Eil	YNG	Oh. Low	BD3	8.87	200.39	191.52	49.64	40.77	NA	-10000
222	12	L.Eil	YNG	Oh. Low	BD3	8.9	255.16	246.26	65.02	56.12	NA	-10000
223	16	Bada queens '26'	OLD	Oh. Up	BD1	8.94	97.98	89.04	24.6	15.66	NA	-10000
224	16	Bada queens '26'	OLD	Oh. Up	BD1	8.93	143.36	134.43	31.99	23.06	NA	-10000
225	16	Bada queens '26'	OLD	Oh. Up	BD1	8.81	89.1	80.29	22.72	13.91	NA	-10000
226	16	Bada queens '26'	OLD	Oh. Up	BD2	9	155.69	146.69	35.97	26.97	NA	-10000
227	16	Bada queens '26'	OLD	Oh. Up	BD2	8.8	148.69	139.89	34.24	25.44	NA	-10000
228	16	Bada queens '26'	OLD	Oh. Up	BD2	8.85	139.8	130.95	32.41	23.56	NA	-10000
229	16	Bada queens '26'	OLD	Oh. Up	BD3	8.9	121.54	112.64	30.89	21.99	NA	-10000
230	16	Bada queens '26'	OLD	Oh. Up	BD3	8.94	166.52	157.58	32.51	23.57	NA	-10000
231	16	Bada queens '26'	OLD	Oh. Up	BD3	8.74	126.64	117.9	36.22	27.48	NA	-10000
232	16	Bada queens '26'	OLD	Oh. Low	BD1	8.4	201.68	193.28	45.28	36.88	NA	-10000
233	16	Bada queens '26'	OLD	Oh. Low	BD1	8.26	199.25	190.99	46.61	38.35	NA	-10000
234	16	Bada queens '26'	OLD	Oh. Low	BD1	8.88	200.64	191.76	45.98	37.1	NA	-10000
235	16	Bada queens '26'	OLD	Oh. Low	BD2	8.88	174.66	165.78	41.56	32.68	NA	-10000
236	16	Bada queens '26'	OLD	Oh. Low	BD2	8.97	151.5	142.53	35.77	26.8	NA	-10000
237	16	Bada queens '26'	OLD	Oh. Low	BD2	8.76	165.01	156.25	38.21	29.45	NA	-10000
238	16	Bada queens '26'	OLD	Oh. Low	BD3	8.59	165.88	157.29	42.93	34.34	NA	-10000
239	16	Bada queens '26'	OLD	Oh. Low	BD3	8.81	226.18	217.37	57.17	48.36	NA	-10000
240	16	Bada queens '26'	OLD	Oh. Low	BD3	8.83	209.85	201.02	57.3	48.47	NA	-10000
241	9	Drum. Lodge 	YNG	Oh. Up	BD1	8.71	132.83	124.12	31.36	22.65	NA	-10000
242	9	Drum. Lodge 	YNG	Oh. Up	BD1	8.79	238.1	229.31	45.96	37.17	NA	-10000
243	9	Drum. Lodge 	YNG	Oh. Up	BD1	8.54	216.26	207.72	43.3	34.76	NA	-10000
244	9	Drum. Lodge 	YNG	Oh. Up	BD2	8.77	169.48	160.71	35.35	26.58	NA	-10000
245	9	Drum. Lodge 	YNG	Oh. Up	BD2	8.73	232.72	223.99	44.7	35.97	NA	-10000
246	9	Drum. Lodge 	YNG	Oh. Up	BD2	8.42	231.38	222.96	46.17	37.75	NA	-10000
247	9	Drum. Lodge 	YNG	Oh. Up	BD3	8.35	231.78	223.43	41.91	33.56	NA	-10000
248	9	Drum. Lodge 	YNG	Oh. Up	BD3	8.35	235.63	227.28	45.76	37.41	NA	-10000
249	9	Drum. Lodge 	YNG	Oh. Up	BD3	8.39	206.39	198	40.65	32.26	NA	-10000
250	12	L.Eil	YNG	Bhs	BD1	8.74	121.12	112.38	85	76.26	24.32	100
251	12	L.Eil	YNG	Bhs	BD2	8.83	98.09	89.26	77.95	69.12	31.21	100
252	12	L.Eil	YNG	Bhs	BD3	8.83	116.04	107.21	84.69	75.86	22.2	100
253	12	L.Eil	YNG	Bhs	BD4	8.84	127.81	118.97	96.41	87.57	25.6	100
254	12	L.Eil	YNG	Bhs	BD5	8.44	110.14	101.7	82.28	73.84	20.22	100
255	12	L.Eil	YNG	E	BD1	8.45	175.84	167.39	150.5	142.05	41.19	100
256	12	L.Eil	YNG	E	BD2	8.76	156.05	147.29	129.04	120.28	40.52	100
257	12	L.Eil	YNG	E	BD3	8.85	140.75	131.9	116	107.15	33.76	100
258	12	L.Eil	YNG	E	BD4	0.32	171.36	171.04	145.71	145.39	33.18	100
259	12	L.Eil	YNG	E	BD5	8.82	135.99	127.17	116.21	107.39	26.38	100
260	9	Drum. Lodge 	YNG	Bhs	BD1	8.8	135.08	126.28	101.82	93.02	25.16	100
261	9	Drum. Lodge 	YNG	Bhs	BD2	8.76	193.3	184.54	171.39	162.63	133.53	100
262	9	Drum. Lodge 	YNG	Bhs	BD3	8.32	157.74	149.42	130.04	121.72	64.05	100
263	9	Drum. Lodge 	YNG	Bhs	BD4	8.32	115.12	106.8	92.56	84.24	13.28	100
264	9	Drum. Lodge 	YNG	Bhs	BD5	8.66	130.32	121.66	104.24	95.58	30.8	100
265	16	Bada queens '26'	OLD	Bhs	BD1	8.75	139.18	130.43	110.16	101.41	20.78	100
266	16	Bada queens '26'	OLD	Bhs	BD2	8.63	136.72	128.09	113.99	105.36	42.73	100
267	16	Bada queens '26'	OLD	Bhs	BD3	8.69	121.81	113.12	100.66	91.97	32.84	100
268	16	Bada queens '26'	OLD	Bhs	BD4	8.3	135.62	127.32	119.3	111	59.05	100
269	16	Bada queens '26'	OLD	Bhs	BD5	8.76	166.32	157.56	149.19	140.43	75.84	100
270	16	Bada queens '26'	OLD	E	BD1	8.36	134.72	126.36	109.6	101.24	18.32	100
271	16	Bada queens '26'	OLD	E	BD2	8.74	155	146.26	124.39	115.65	16.95	100
272	16	Bada queens '26'	OLD	E	BD3	8.74	141.87	133.13	114.76	106.02	27.79	100
273	16	Bada queens '26'	OLD	E	BD4	8.34	160.23	151.89	137.46	129.12	36.65	100
274	16	Bada queens '26'	OLD	E	BD5	8.72	153.28	144.56	125.88	117.16	22.2	100
275	13	L.Eil	YNG	Bhs	BD1	8.91	112.98	104.07	95.66	86.75	26.55	100
276	13	L.Eil	YNG	Bhs	BD2	8.69	158.22	149.53	126.53	117.84	41.43	100
277	13	L.Eil	YNG	Bhs	BD3	8.65	170.42	161.77	152.92	144.27	59.35	100
278	13	L.Eil	YNG	Bhs	BD4	8.57	136.77	128.2	109.55	100.98	21.16	100
279	13	L.Eil	YNG	Bhs	BD5	8.9	154.33	145.43	141.34	132.44	87.41	100
280	13	L.Eil	YNG	E	BD1	8.49	155.39	146.9	125.29	116.8	16.91	100
281	13	L.Eil	YNG	E	BD2	8.57	139.33	130.76	115.38	106.81	16.84	100
282	13	L.Eil	YNG	E	BD3	8.7	144.09	135.39	126.82	118.12	74.47	100
283	13	L.Eil	YNG	E	BD4	8.78	132.07	123.29	117.36	108.58	44.04	100
284	13	L.Eil	YNG	E	BD5	9.01	134.5	125.49	115.84	106.83	44.93	100
285	17	Bada 	V.OLD	Bhs	BD1	8.99	174.99	166	148.24	139.25	30.93	100
286	17	Bada 	V.OLD	Bhs	BD2	8.89	206.99	198.1	179.01	170.12	35.91	100
287	17	Bada 	V.OLD	Bhs	BD3	8.83	177.1	168.27	148.42	139.59	26.71	100
288	17	Bada 	V.OLD	Bhs	BD4	8.84	227.33	218.49	189.17	180.33	34.83	100
289	17	Bada 	V.OLD	Bhs	BD5	8.8	195.21	186.41	166.23	157.43	42.49	100
290	17	Bada 	V.OLD	E	BD1	8.88	119.05	110.17	87.6	78.72	16.47	100
291	17	Bada 	V.OLD	E	BD2	8.83	156.8	147.97	126.4	117.57	26.65	100
292	17	Bada 	V.OLD	E	BD3	8.84	175.31	166.47	145.54	136.7	28.65	100
293	17	Bada 	V.OLD	E	BD4	8.99	143.21	134.22	120.36	111.37	33.3	100
294	17	Bada 	V.OLD	E	BD5	8.84	177.4	168.56	145.48	136.64	36.33	100
295	18	Ryvoan	V.OLD	E	BD1	8.84	137.75	128.91	102.99	94.15	27.1	100
296	18	Ryvoan	V.OLD	E	BD2	8.92	149.56	140.64	110.68	101.76	21.25	100
297	18	Ryvoan	V.OLD	E	BD3	8.91	133.95	125.04	97.22	88.31	20.6	100
298	18	Ryvoan	V.OLD	E	BD4	8.79	160.53	151.74	116.09	107.3	33.35	100
299	18	Ryvoan	V.OLD	E	BD5	8.9	148.43	139.53	115.92	107.02	55.93	100
300	13	L.Eil	YNG	E	BD6	8.77	92.03	83.26	80.91	72.14	29.7	100
301	13	L.Eil	YNG	Oh. Up	BD1	8.84	148.57	139.73	33.78	24.94	NA	-10000
302	13	L.Eil	YNG	Oh. Up	BD1	8.32	152.29	143.97	34.07	25.75	NA	-10000
303	13	L.Eil	YNG	Oh. Up	BD1	8.84	148.4	139.56	33.43	24.59	NA	-10000
304	13	L.Eil	YNG	Oh. Up	BD2	8.32	139.38	131.06	33.49	25.17	NA	-10000
305	13	L.Eil	YNG	Oh. Up	BD2	8.74	177.16	168.42	38.06	29.32	NA	-10000
306	13	L.Eil	YNG	Oh. Up	BD2	8.44	117.46	109.02	37.69	29.25	NA	-10000
307	13	L.Eil	YNG	Oh. Up	BD3	8.69	115.76	107.07	28.25	19.56	NA	-10000
308	13	L.Eil	YNG	Oh. Up	BD3	8.76	157.06	148.3	35.67	26.91	NA	-10000
309	13	L.Eil	YNG	Oh. Low	BD3	8.76	119.37	110.61	28.68	19.92	NA	-10000
310	13	L.Eil	YNG	Oh. Low	BD1	8.45	199.91	191.46	43.45	35	NA	-10000
311	13	L.Eil	YNG	Oh. Low	BD1	8.85	158.25	149.4	36.71	27.86	NA	-10000
312	13	L.Eil	YNG	Oh. Low	BD1	8.63	181.89	173.26	44.38	35.75	NA	-10000
313	13	L.Eil	YNG	Oh. Low	BD2	8.74	178.3	169.56	51.09	42.35	NA	-10000
314	13	L.Eil	YNG	Oh. Low	BD2	8.74	165.86	157.12	50.17	41.43	NA	-10000
315	13	L.Eil	YNG	Oh. Low	BD2	8.3	198.18	189.88	64.4	56.1	NA	-10000
316	13	L.Eil	YNG	Oh. Low	BD3	8.76	188.86	180.1	50.99	42.23	NA	-10000
317	13	L.Eil	YNG	Oh. Low	BD3	8.34	170.05	161.71	40.01	31.67	NA	-10000
318	13	L.Eil	YNG	Oh. Low	BD3	8.88	187.99	179.11	49	40.12	NA	-10000
319	17	Bada	V.OLD	Oh. Up	BD1	8.36	141.61	133.25	27.93	19.57	NA	-10000
320	17	Bada	V.OLD	Oh. Up	BD1	8.72	144.93	136.21	29.11	20.39	NA	-10000
321	17	Bada	V.OLD	Oh. Up	BD1	8.32	145.4	137.08	27.89	19.57	NA	-10000
322	17	Bada	V.OLD	Oh. Up	BD2	8.75	144.52	135.77	29.84	21.09	NA	-10000
323	17	Bada	V.OLD	Oh. Up	BD2	8.83	158.66	149.83	32.86	24.03	NA	-10000
324	17	Bada	V.OLD	Oh. Up	BD2	8.8	153.33	144.53	31.55	22.75	NA	-10000
325	17	Bada	V.OLD	Oh. Up	BD3	8.66	114.04	105.38	24.75	16.09	NA	-10000
326	17	Bada	V.OLD	Oh. Up	BD3	8.76	116.08	107.32	25.68	16.92	NA	-10000
327	17	Bada	V.OLD	Oh. Up	BD3	8.82	130.9	122.08	27.4	18.58	NA	-10000
328	17	Bada	V.OLD	Oh. Low	BD1	8.77	193.44	184.67	67.91	59.14	NA	-10000
329	17	Bada	V.OLD	Oh. Low	BD1	8.77	153.14	144.37	30.07	21.3	NA	-10000
330	17	Bada	V.OLD	Oh. Low	BD1	8.77	157.82	149.05	35.04	26.27	NA	-10000
331	17	Bada	V.OLD	Oh. Low	BD2	8.85	189.9	181.05	43.38	34.53	NA	-10000
332	17	Bada	V.OLD	Oh. Low	BD2	8.73	181.2	172.47	42.15	33.42	NA	-10000
333	17	Bada	V.OLD	Oh. Low	BD2	8.78	169.78	161	39.39	30.61	NA	-10000
334	17	Bada	V.OLD	Oh. Low	BD3	8.79	136.25	127.46	28.68	19.89	NA	-10000
335	17	Bada	V.OLD	Oh. Low	BD3	8.96	162.71	153.75	34.21	25.25	NA	-10000
336	17	Bada	V.OLD	Oh. Low	BD3	8.86	156.52	147.66	32.06	23.2	NA	-10000
337	18	Ryvoan	V.OLD	Oh. Up	BD1	8.88	128.05	119.17	33.33	24.45	NA	-10000
338	18	Ryvoan	V.OLD	Oh. Up	BD1	8.85	143.46	134.61	37.86	29.01	NA	-10000
339	18	Ryvoan	V.OLD	Oh. Up	BD1	8.78	158.4	149.62	39.95	31.17	NA	-10000
340	18	Ryvoan	V.OLD	Oh. Up	BD2	8.75	141.5	132.75	36.69	27.94	NA	-10000
341	18	Ryvoan	V.OLD	Oh. Up	BD2	8.82	154.65	145.83	38.92	30.1	NA	-10000
342	18	Ryvoan	V.OLD	Oh. Up	BD2	8.74	195.07	186.33	47.81	39.07	NA	-10000
343	18	Ryvoan	V.OLD	Oh. Up	BD3	8.7	156.05	147.35	38.16	29.46	NA	-10000
344	18	Ryvoan	V.OLD	Oh. Up	BD3	8.68	161.47	152.79	41.39	32.71	NA	-10000
345	18	Ryvoan	V.OLD	Oh. Up	BD3	8.71	159.08	150.37	39.68	30.97	NA	-10000
346	18	Ryvoan	V.OLD	Oh. Low	BD1	8.81	201.81	193	61.53	52.72	NA	-10000
347	18	Ryvoan	V.OLD	Oh. Low	BD1	8.8	203.71	194.91	59.34	50.54	NA	-10000
348	18	Ryvoan	V.OLD	Oh. Low	BD1	8.76	231.36	222.6	64.89	56.13	NA	-10000
349	18	Ryvoan	V.OLD	Oh. Low	BD2	8.8	174.79	165.99	45.23	36.43	NA	-10000
