Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones weight	Volume
366	5	L.Mor	OLD	Bhs	BD2	8.85	131.99	123.14	123.11	114.26	65.91	100
367	5	L.Mor	OLD	Bhs	BD3	8.77	138.49	129.72	128.39	119.62	65.5	100
368	5	L.Mor	OLD	Bhs	BD4	8.78	124.31	115.53	115.7	106.92	62.34	100
369	5	L.Mor	OLD	Bhs	BD5	8.78	140.69	131.91	128.87	120.09	69.24	100
370	5	L.Mor	OLD	Oh. Up	BD1	8.86	143.74	134.88	48.15	39.29	NA	-10000
371	5	L.Mor	OLD	Oh. Up	BD1	8.76	135.01	126.25	46.52	37.76	NA	-10000
372	5	L.Mor	OLD	Oh. Up	BD1	8.8	183.33	174.53	56.82	48.02	NA	-10000
373	5	L.Mor	OLD	Oh. Up	BD2	8.77	140.46	131.69	45.47	36.7	NA	-10000
374	5	L.Mor	OLD	Oh. Up	BD2	8.44	132.64	124.2	40.22	31.78	NA	-10000
375	5	L.Mor	OLD	Oh. Up	BD2	8.83	182.67	173.84	49.61	40.78	NA	-10000
376	5	L.Mor	OLD	Oh. Up	BD3	8.69	109.33	100.64	46.61	37.92	NA	-10000
377	5	L.Mor	OLD	Oh. Up	BD3	8.3	144.29	135.99	45.81	37.51	NA	-10000
378	5	L.Mor	OLD	Oh. Up	BD3	8.88	235.94	227.06	71.09	62.21	NA	-10000
379	5	L.Mor	OLD	Oh. Low	BD1	8.76	165.05	156.29	52.97	44.21	NA	-10000
380	5	L.Mor	OLD	Oh. Low	BD1	8.74	214.41	205.67	65.45	56.71	NA	-10000
381	5	L.Mor	OLD	Oh. Low	BD1	8.38	160.41	152.03	49.35	40.97	NA	-10000
382	5	L.Mor	OLD	Oh. Low	BD2	8.82	148.65	139.83	46.69	37.87	NA	-10000
383	5	L.Mor	OLD	Oh. Low	BD2	8.8	178.54	169.74	56.62	47.82	NA	-10000
384	5	L.Mor	OLD	Oh. Low	BD2	8.63	176.41	167.78	58.68	50.05	NA	-10000
385	5	L.Mor	OLD	Oh. Low	BD3	8.82	113.59	104.77	49.31	40.49	NA	-10000
386	5	L.Mor	OLD	Oh. Low	BD3	8.81	142.88	134.07	57.87	49.06	NA	-10000
387	5	L.Mor	OLD	Oh. Low	BD3	8.84	94.59	85.75	36.76	27.92	NA	-10000
388	1	Tull. 	Grass	A	BD1	8.45	126.6	118.15	94.49	86.04	14.13	100
389	1	Tull. 	Grass	A	BD2	8.85	133.91	125.06	96.76	87.91	12.22	100
390	1	Tull. 	Grass	A	BD3	8.44	154.43	145.99	114.9	106.46	12.07	100
391	1	Tull. 	Grass	A	BD4	8.77	154.15	145.38	120.55	111.78	38.76	100
392	1	Tull. 	Grass	B	BD1	8.32	119.31	110.99	100.55	92.23	24.43	100
393	1	Tull. 	Grass	B	BD2	8.86	147.37	138.51	129.03	120.17	47.3	100
394	1	Tull. 	Grass	B	BD3	8.96	162.5	153.54	138.82	129.86	53.11	100
395	1	Tull. 	Grass	B	BD4	8.76	104.87	96.11	87.8	79.04	16.45	100
396	4	L.Mor	Grass	A	BD1	8.76	135.74	126.98	92.77	84.01	22.47	100
397	4	L.Mor	Grass	A	BD2	8.72	142.72	134	106.71	97.99	49.11	100
398	4	L.Mor	Grass	A	BD3	8.34	121.98	113.64	93.61	85.27	37.25	100
399	4	L.Mor	Grass	A	BD4	8.75	127.85	119.1	93.15	84.4	24.6	100
400	4	L.Mor	Grass	A	BD5	8.75	113.82	105.07	87.6	78.85	33.68	100
401	4	L.Mor 	Grass	B	BD1	8.73	202.76	194.03	171.51	162.78	105.08	100
402	4	L.Mor 	Grass	B	BD2	8.74	83.26	74.52	68.31	59.57	42.36	100
403	4	L.Mor 	Grass	B	BD3	8.8	220.5	211.7	192.74	183.94	135.4	100
404	4	L.Mor 	Grass	B	BD4	8.71	190.84	182.13	158.57	149.86	84.52	100
405	4	L.Mor 	Grass	B	BD5	8.32	101.12	92.8	81.4	73.08	62.72	100
407	10	Drum. Lodge 	YNG	Bhs	BD1	8.69	147.57	138.88	116.63	107.94	22.83	100
408	10	Drum. Lodge 	YNG	Bhs	BD2	8.84	147.9	139.06	122.04	113.2	59.51	100
409	10	Drum. Lodge 	YNG	Bhs	BD3	8.26	180.38	172.12	166.32	158.06	130.54	100
410	10	Drum. Lodge 	YNG	Bhs	BD4	8.76	132.9	124.14	106.6	97.84	56.2	100
411	10	Drum. Lodge 	YNG	Bhs	BD5	8.76	117.43	108.67	87.87	79.11	33.03	100
412	10	Drum. Lodge 	YNG	Oh. Up	BD1	8.78	219.34	210.56	47.96	39.18	NA	-10000
413	10	Drum. Lodge 	YNG	Oh. Up	BD1	8.54	177.7	169.16	40.42	31.88	NA	-10000
414	10	Drum. Lodge 	YNG	Oh. Up	BD1	8.82	286.66	277.84	64.33	55.51	NA	-10000
415	10	Drum. Lodge 	YNG	Oh. Up	BD2	8.38	210.14	201.76	43.73	35.35	NA	-10000
416	10	Drum. Lodge 	YNG	Oh. Up	BD2	8.8	176.17	167.37	38.37	29.57	NA	-10000
417	10	Drum. Lodge 	YNG	Oh. Up	BD2	8.71	323.7	314.99	66.72	58.01	NA	-10000
418	10	Drum. Lodge 	YNG	Oh. Up	BD3	8.78	179.72	170.94	39.42	30.64	NA	-10000
419	10	Drum. Lodge 	YNG	Oh. Up	BD3	8.83	191.75	182.92	41.3	32.47	NA	-10000
420	10	Drum. Lodge 	YNG	Oh. Up	BD3	8.84	224.42	215.58	49.16	40.32	NA	-10000
421	10	Drum. Lodge 	YNG	Oh. Low	BD1	8.74	239.38	230.64	57.55	48.81	NA	-10000
422	14	Coyl.	YNG	Oh. Up	BD1	8.83	352.3	343.47	55.59	46.76	NA	-10000
423	14	Coyl.	YNG	Oh. Up	BD1	8.39	177.01	168.62	39.01	30.62	NA	-10000
424	14	Coyl.	YNG	Oh. Up	BD1	8.93	198.07	189.14	41.82	32.89	NA	-10000
425	14	Coyl.	YNG	Oh. Up	BD2	8.84	245.41	236.57	53.22	44.38	NA	-10000
426	14	Coyl.	YNG	Oh. Up	BD2	8.73	193.92	185.19	43.97	35.24	NA	-10000
427	14	Coyl.	YNG	Oh. Up	BD2	8.88	193.88	185	44.89	36.01	NA	-10000
428	14	Coyl.	YNG	Oh. Up	BD3	8.79	192.37	183.58	42.99	34.2	NA	-10000
429	14	Coyl.	YNG	Oh. Up	BD3	8.35	232.87	224.52	48.9	40.55	NA	-10000
430	14	Coyl.	YNG	Oh. Up	BD3	8.77	187.42	178.65	48.43	39.66	NA	-10000
431	10	Drum. Lodge 	YNG	Oh. Low	BD1	8.81	245.51	236.7	108.58	99.77	NA	-10000
432	10	Drum. Lodge 	YNG	Oh. Low	BD1	8.84	108.33	99.49	28.27	19.43	NA	-10000
433	10	Drum. Lodge 	YNG	Oh. Low	BD2	8.8	306.03	297.23	75.13	66.33	NA	-10000
434	10	Drum. Lodge 	YNG	Oh. Low	BD2	8.42	167.58	159.16	47.49	39.07	NA	-10000
435	10	Drum. Lodge 	YNG	Oh. Low	BD2	8.87	175.21	166.34	42.19	33.32	NA	-10000
436	10	Drum. Lodge 	YNG	Oh. Low	BD3	8.74	172.61	163.87	41.99	33.25	NA	-10000
437	10	Drum. Lodge 	YNG	Oh. Low	BD3	8.81	193.41	184.6	54.36	45.55	NA	-10000
438	10	Drum. Lodge 	YNG	Oh. Low	BD3	8.88	165.32	156.44	39.67	30.79	NA	-10000
439	8	Drum. Lodge 	V.OLD	A	BD1	8.74	119.87	111.13	76.23	67.49	18.71	100
440	8	Drum. Lodge 	V.OLD	A	BD2	8.69	134.98	126.29	91.2	82.51	29.09	100
441	8	Drum. Lodge 	V.OLD	A	BD3	8.3	111.87	103.57	75.9	67.6	29.18	100
442	8	Drum. Lodge 	V.OLD	A	BD4	8.74	93.55	84.81	58.88	50.14	8.91	100
443	8	Drum. Lodge 	V.OLD	A	BD5	8.44	108	99.56	63.9	55.46	NA	100
444	8	Drum. Lodge 	V.OLD	B	BD1	8.86	133.88	125.02	122.05	113.19	82.23	100
445	8	Drum. Lodge 	V.OLD	B	BD2	8.82	112.72	103.9	108.35	99.53	50.94	100
446	8	Drum. Lodge 	V.OLD	B	BD3	8.77	133.51	124.74	112.73	103.96	26.61	100
447	8	Drum. Lodge 	V.OLD	B	BD4	8.8	140.08	131.28	125.75	116.95	76.56	100
448	8	Drum. Lodge 	V.OLD	B	BD5	8.63	122.48	113.85	107.62	98.99	49.49	100
449	2	Tull. 	V.OLD	E	BD1	8.83	63.57	54.74	56.06	47.23	27.49	100
450	2	Tull. 	V.OLD	E	BD2	8.42	80.71	72.29	69.57	61.15	18.49	100
451	2	Tull. 	V.OLD	E	BD3	8.84	55.56	46.72	46.15	37.31	20.46	100
452	2	Tull. 	V.OLD	E	BD4	8.8	71.14	62.34	61.62	52.82	12.25	100
453	2	Tull. 	V.OLD 	E	BD5	8.4	120.5	112.1	107.57	99.17	24.9	100
454	2	Tull. 	V.OLD	Bhs	BD1	8.71	93.71	85	76.77	68.06	20.76	100
455	2	Tull. 	V.OLD	Bhs	BD2	8.54	103.61	95.07	77.36	68.82	26.81	100
456	2	Tull. 	V.OLD	Bhs	BD3	8.39	95.43	87.04	79.01	70.62	24.56	100
457	2	Tull. 	V.OLD	Bhs	BD4	8.93	113.52	104.59	90.13	81.2	39.28	100
458	2	Tull. 	V.OLD	Bhs	BD5	8.81	110.28	101.47	93.35	84.54	36.12	100
459	7	Drum. Lodge 	GRASS	A	BD1	8.74	114.39	105.65	81.28	72.54	34.92	100
460	7	Drum. Lodge 	GRASS	A	BD2	8.66	141.3	132.64	95.73	87.07	15.34	100
461	7	Drum. Lodge 	GRASS	A	BD3	8.82	131.2	122.38	72.6	63.78	NA	100
462	7	Drum. Lodge 	GRASS	A	BD4	8.83	125.67	116.84	79.16	70.33	11.31	100
463	7	Drum. Lodge 	GRASS	A	BD5	8.76	134.16	125.4	97.66	88.9	31.83	100
464	7	Drum. Lodge 	GRASS	B	BD1	8.85	156.54	147.69	124.06	115.21	36.57	100
465	7	Drum. Lodge 	GRASS	B	BD2	8.75	121.06	112.31	99.35	90.6	39.85	100
466	7	Drum. Lodge 	GRASS	B	BD3	8.71	147.48	138.77	125.95	117.24	63.63	100
467	7	Drum. Lodge 	GRASS	B	BD4	8.32	125.6	117.28	100.32	92	29.47	100
468	7	Drum. Lodge 	GRASS	B	BD5	8.7	116.54	107.84	94.15	85.45	25.96	100
469	6	L.Mor	V.OLD	Bhs	BD1	8.76	188.74	179.98	178.37	169.61	72.29	100
470	6	L.Mor	V.OLD	Bhs	BD2	8.76	189.26	180.5	178.61	169.85	81.04	100
471	6	L.Mor	V.OLD	Bhs	BD3	8.82	167.39	158.57	157.85	149.03	73.12	100
472	6	L.Mor	V.OLD	Bhs	BD4	8.78	166.5	157.72	157.77	148.99	76.75	100
473	6	L.Mor	V.OLD	Bhs	BD5	8.38	159.85	151.47	150.01	141.63	65.63	100
474	1	Tull. 	Grass	A	BD5	8.35	148.99	140.64	114.33	105.98	18.46	100
475	1	Tull. 	Grass	B	BD5	8.88	121.6	112.72	109.21	100.33	44.11	100
476	3	Tull. 	OLD	Bhs	BD1	8.83	106.23	97.4	88.5	79.67	27.37	100
477	3	Tull. 	OLD	Bhs	BD2	8.88	134.34	125.46	114.27	105.39	42.69	100
478	3	Tull. 	OLD	Bhs	BD3	8.82	131.59	122.77	112.98	104.16	27.29	100
479	3	Tull. 	OLD	Bhs	BD4	8.81	106.65	97.84	79.69	70.88	18.35	100
480	3	Tull. 	OLD	Bhs	BD5	8.97	152.33	143.36	115.01	106.04	49.56	100
481	3	Tull. 	OLD	E	BD1	8.77	68.13	59.36	55.62	46.85	19.27	100
482	3	Tull. 	OLD	E	BD2	8.8	70.39	61.59	59.63	50.83	10.43	100
483	3	Tull. 	OLD	E	BD3	8.78	112.71	103.93	85.36	76.58	21.36	100
484	2	Tull. 	V.OLD	Oh. Up	BD1	8.38	292.13	283.75	67.11	58.73	NA	500
485	2	Tull. 	V.OLD	Oh. Up	BD2	8.84	298.85	290.01	74.02	65.18	NA	500
486	2	Tull. 	V.OLD	Oh. Up	BD3	8.81	257.24	248.43	55.51	46.7	NA	500
487	2	Tull. 	V.OLD	Oh. Low	BD1	8.74	331.14	322.4	76.69	67.95	NA	500
488	3	Tull. 	OLD	Oh. Mid 	BD1	8.8	346.38	337.58	69.56	60.76	NA	500
489	3	Tull. 	OLD	Oh. Up	BD1	8.78	252.54	243.76	53.08	44.3	NA	500
490	3	Tull. 	OLD	Oh. Mid 	BD2	8.79	255.15	246.36	55.89	47.1	NA	500
491	3	Tull. 	OLD	Oh. Up	BD2	8.83	327.13	318.3	69.66	60.83	NA	500
492	6	L.Mor	V.OLD	Oh. Up	BD1	8.75	251.24	242.49	66.52	57.77	NA	-10000
493	6	L.Mor	V.OLD	Oh. Up	BD1	8.32	191.88	183.56	52.89	44.57	NA	-10000
494	6	L.Mor	V.OLD	Oh. Up	BD2	8.9	301.77	292.87	77.93	69.03	NA	-10000
495	6	L.Mor	V.OLD	Oh. Up	BD2	8.78	144.3	135.52	41.27	32.49	NA	-10000
496	6	L.Mor	V.OLD	Oh. Up	BD3	8.76	238.61	229.85	62.26	53.5	NA	-10000
497	6	L.Mor	V.OLD	Oh. Up	BD3	8.71	229.71	221	57.46	48.75	NA	-10000
501	6	L.Mor	V.OLD	Oh. Low	BD1	8.89	297.76	288.87	86.82	77.93	NA	-10000
502	6	L.Mor	V.OLD	Oh. Low	BD1	8.78	170.27	161.49	52.57	43.79	NA	-10000
503	6	L.Mor	V.OLD	Oh. Low	BD2	8.34	300.28	291.94	86.8	78.46	NA	-10000
504	6	L.Mor	V.OLD	Oh. Low	BD2	8.88	191.38	182.5	62.45	53.57	NA	-10000
505	6	L.Mor	V.OLD	Oh. Low	BD3	8.84	210.23	201.39	61.01	52.17	NA	-10000
506	6	L.Mor	V.OLD	Oh. Low	BD3	8.84	140.92	132.08	44.06	35.22	NA	-10000
