"Land_use"	"Year"	"Modelling"	"TotalSOC_stock_tha"	"Min_TotalSOC_stock_tha"	"Max_TotalSOC_stock_tha"	"DPM_stock_tha"	"Min_DPM_stock_tha"	"Max_DPM_stock_tha"	"RPM_stock_tha"	"Min_RPM_stock_tha"	"Max_RPM_stock_tha"	"BIO_stock_tha"	"Min_BIO_stock_tha"	"Max_BIO_stock_tha"	"HUM_stock_tha"	"Min_HUM_stock_tha"	"Max_HUM_stock_tha"	"IOM_stock_tha"	"Min_IOM_stock_tha"	"Max_IOM_stock_tha"
"Forest "	-10	"FH_acc"	241.20023121	154.96	331.1524545	0.764793066066667	0.480199721	1.131211494	95.637942479	76.39836239	129.0576534	4.57836690105	3.891114401	6.032508353	117.884109859333	57.45503244	163.1642757	22.349973694	16.68	31.98
"Grassland"	-10	"FH_acc"	191.216083863889	141.3867556	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	199	"FH_acc"	386.997943508333	340.2682897	505.6217197	1.59327392548333	0.953837084	2.202956871	190.747200053333	154.1433906	242.225578	8.7685750991	7.021696526	10.87500764	164.501771205	109.5540889	223.3001956	22.349973694	16.68	31.98
"Grassland"	199	"FH_acc"	349.739280097222	345.59	353.928141	2.06790781277778	1.734986076	2.318967192	219.679744858333	214.2038906	224.5185713	10.1935815975833	9.924496747	10.43211294	100.628441383889	93.85449552	111.8389981	18.59737393	16.77	21.35613082
"Forest "	-10	"PI_dist"	240.976619631667	154.85	330.84	0.763915130916667	0.48	1.13	95.5261858451667	76.33	128.9	4.5731230306	3.89	6.02	117.762088596667	57.4	162.83	22.349973694	16.68	31.98
"Grassland"	-10	"PI_dist"	191.215555555556	141.39	232.75	1.45444444444444	0.72	2.35	54.2038888888889	40.45	64.88	4.66972222222222	3.52	5.79	112.290555555556	79.83	138.58	18.6	16.77	21.36
"Forest "	199	"PI_dist"	304.084139311667	253.53	398.24	1.24092313606667	0.77	1.75	150.708911993333	123.7702973	194.24	6.9379126509	5.619079455	8.69	122.84641784	74.46	161.69	22.349973694	16.68	31.98
"Grassland"	199	"PI_dist"	266.039562252778	260.357308	273.5653699	1.33471093508333	1.014621104	1.58	152.028254902778	147.4699021	156.31	7.34982005155556	7.123277466	7.56	86.7296802216667	80.03915255	97.81247597	18.59737393	16.77	21.35613082
