"Age"	"Live_vol_perc"	"Repeat"
26	0.760676773	12
26	0.760676773	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
27	2.028470252	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
28	3.296263731	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
29	4.564067493	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
30	5.831850689	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
31	7.099633884	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
32	8.367451357	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
33	9.635234553	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
34	10.90301775	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
35	12.17080094	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
36	13.43861842	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
37	14.70640161	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
38	15.97418481	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
39	17.24200228	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
40	18.50978548	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
41	20.29220926	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
42	22.07463305	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
43	23.85705684	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
44	25.63948062	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
45	27.42190441	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
46	29.50596915	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
47	31.59003388	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
48	33.67409862	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
49	35.75816335	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
50	37.84222809	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
51	40.0771133	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
52	42.31199851	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
53	44.54688372	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
54	46.78176893	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
55	49.01665414	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
56	51.2926722	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
57	53.56869027	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
58	55.84470833	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
59	58.1207264	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
60	60.39674447	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
61	62.61106325	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
62	64.82538203	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
63	67.03970081	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
64	69.25401959	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
65	71.46833837	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
66	73.54554763	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
67	75.62275689	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
68	77.69996615	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
69	79.77717541	12
70	81.85438467	12
