"Land_use"	"Age"	"Horizon"	"Min_width"	"V1.sd"	"V1.n"	"V1.stderror"	"V1.CI"	"BD"	"V2.sd"	"V2.n"	"V2.stderror"	"V2.CI"	"Clay"	"V3.sd"	"V3.n"	"V3.stderror"	"V3.CI"
"GRASS"	"GRASS"	"Ah_UPP"	14.6666666666667	8.08290376865476	3	4.66666666666667	20.0790460721642	0.711519735333333	0.148787395719064	3	0.0859024429704248	0.369608380738846	19	1.5	3	0.866025403784439	3.72620656762549
"GRASS"	"GRASS"	"Ah_LOW"	22.3333333333333	3.78593889720018	3	2.185812841434	9.40479358891743	0.711519735333333	0.148787395719064	3	0.0859024429704248	0.369608380738846	10.4166666666667	1.02021239618686	3	0.589019901569076	2.53434808736295
"N_GRASS"	"YNG"	"E"	3.83333333333333	2.71416039810964	6	1.10805134257298	2.84833665417053	0.911885167666667	0.16219838311752	6	0.0662172126237302	0.170216763977028	4.18333333333333	1.23517879947264	6	0.504259633301911	1.29624065381052
"N_GRASS"	"OLD"	"E"	3.1	1.34164078649987	5	0.6	1.66586706311868	0.9223551226	0.278647993054219	5	0.124615170852625	0.345987181147157	4.46	2.48555828738736	5	1.11157545852722	3.08622824088589
"N_GRASS"	"V.OLD"	"E"	4.2	2.77488738510232	5	1.24096736459909	3.44547776515134	0.8048621328	0.295822894308655	5	0.132296020194978	0.367312637707494	4.16	2.53830652207333	5	1.13516518621741	3.15172382486426
"GRASS"	"GRASS"	"Bhs"	33	7.54983443527075	3	4.35889894354067	18.7548284381273	0.793389972	0.025577415	3	0.0147671274354248	0.0635378211705887	4.45	0.35	3	0.202072594216369	0.869448199112616
"N_GRASS"	"YNG"	"Bhs"	40.5	11.2782977438973	6	4.60434577328854	11.8358476098043	0.824249309166667	0.176481369984026	6	0.0720482175946992	0.185205839438907	3.56666666666667	1.13607511488751	6	0.463800723491362	1.19223771516188
"N_GRASS"	"OLD"	"Bhs"	47.1	21.352400333452	5	9.54908372567756	26.5125067692814	0.8472765852	0.16137504402296	5	0.0721691136614718	0.200373582371857	2.82	0.931128347758783	5	0.41641325627314	1.15614854711903
"N_GRASS"	"V.OLD"	"Bhs"	25.1	11.4015349843782	5	5.09892145458233	14.1568755143631	1.0178472186	0.358453659185128	5	0.160305349744297	0.445079003634575	2.76	0.73348483283569	5	0.328024389337135	0.910741710160582
