"Land_use"	"Year"	"Modelling"	"TotalSOC_stock_tha"	"Min_TotalSOC_stock_tha"	"Max_TotalSOC_stock_tha"	"DPM_stock_tha"	"Min_DPM_stock_tha"	"Max_DPM_stock_tha"	"RPM_stock_tha"	"Min_RPM_stock_tha"	"Max_RPM_stock_tha"	"BIO_stock_tha"	"Min_BIO_stock_tha"	"Max_BIO_stock_tha"	"HUM_stock_tha"	"Min_HUM_stock_tha"	"Max_HUM_stock_tha"	"IOM_stock_tha"	"Min_IOM_stock_tha"	"Max_IOM_stock_tha"
"Grassland"	0	"FH_acc"	206.434082208333	187.4683558	233.4959938	0.139127974333333	0.003348879	0.39379083	57.8245743586111	43.54342137	70.7276292	3.96080626288889	2.956129764	4.985070112	127.342045863889	110.79	136.0347629	18.59737393	16.77	21.35613082
"Forest "	1	"FH_acc"	234.207183041667	148.35	324.97225	0.121144218966667	0.040694171	0.281336815	89.2969380613333	70.15730791	123.7475298	4.49561541441667	3.796555007	5.995594397	117.988900886167	57.58035269	163.3483426	22.349973694	16.68	31.98
"Grassland"	1	"FH_acc"	199.021756063889	181.4901038	223.83	0.00409239585391667	4.81005e-07	0.02	51.1788212172222	37.91462722	62.16924857	3.78965316988889	2.757657685	4.759684808	126.881693577778	110.34	135.5350264	18.59737393	16.77	21.35613082
"Forest "	2	"FH_acc"	230.269463605	145.29	320.6431661	0.0380681094333333	0.010751973	0.091734947	85.4703329448333	67.12494272	119.5934962	4.41112617836667	3.72954867	5.927931984	118.075581713667	57.6654295	163.5522244	22.349973694	16.68	31.98
"Grassland"	2	"FH_acc"	192.400518044444	175.9798641	215.38	0.000562785331944444	1.38475e-06	0.001176639	45.3237708763889	33.02413925	54.66721426	3.58280944388889	2.55289241	4.471579774	126.326193741667	109.8400002	134.8814954	18.59737393	16.77	21.35613082
"Forest "	3	"FH_acc"	226.595109413333	142.38	316.5528334	0.0136182129666667	0.000770053	0.031859549	81.8835976623333	64.25248741	115.5906899	4.31867254493333	3.661254421	5.848082291	118.136755822333	57.73016284	163.7458495	22.349973694	16.68	31.98
"Grassland"	3	"FH_acc"	186.394593294444	170.8857645	207.75	0.000857754051944444	4.98908e-06	0.00171896	40.1610550241667	28.77439971	48.08840884	3.36704688702778	2.350619658	4.172630027	125.697865055556	109.2900008	134.1289001	18.59737393	16.77	21.35613082
"Forest "	4	"FH_acc"	223.13267077	139.62	312.6317996	0.00490710643333333	0.000772043	0.011900402	78.5145545381667	61.53036008	111.7394161	4.22366244116667	3.576222436	5.760087268	118.177515290667	57.77449632	163.9291893	22.349973694	16.68	31.98
"Grassland"	4	"FH_acc"	180.933507094444	166.1711065	200.84	0.00116062736388889	1.0781e-05	0.002229273	35.6084825255556	25.08093607	42.31748107	3.14919392377778	2.156300368	3.874844006	125.007517894444	108.690002	133.419756	18.59737393	16.77	21.35613082
"Forest "	5	"FH_acc"	219.855315535	136.97	308.8404867	0.00186359895	0.000777476	0.003762129	75.3442545615	58.33811156	108.029969	4.12805017625	3.421705043	5.663839035	118.199467690167	57.80859432	164.0922196	22.349973694	16.68	31.98
"Grassland"	5	"FH_acc"	175.958685802778	161.8026496	194.58	0.001444323525	1.86114e-05	0.002706049	31.5900805008333	21.87054041	37.26015466	2.936204514	1.973245506	3.585805245	124.263348525	108.050004	132.759039	18.59737393	16.77	21.35613082
"Forest "	6	"FH_acc"	216.742826028333	134.45	305.1792703	0.00178285551666667	0.000780531	0.003281052	72.353634318	55.06121292	104.4526325	4.03298602565	3.276662992	5.573490762	118.2059145575	57.83207842	164.2449178	22.349973694	16.68	31.98
"Grassland"	6	"FH_acc"	171.415707869444	157.7498742	188.88	0.00171182585555556	2.83325e-05	0.003155965	28.0426993188889	19.07974009	33.70026542	2.7308408655	1.803261078	3.310370601	123.472535513889	107.380007	132.0512646	18.59737393	16.77	21.35613082
"Forest "	7	"FH_acc"	213.78309057	132.04	301.6385029	0.001789558	0.000783094	0.003312745	69.5271774921667	52.10089858	101.0076805	3.9384056811	3.151120071	5.475817236	118.197114627333	57.83986982	164.3972626	22.349973694	16.68	31.98
"Grassland"	7	"FH_acc"	167.258907963889	153.9847978	183.7	0.00196660496666667	3.98207e-05	0.003584663	24.9102924191667	16.65348685	30.50041506	2.53680860455556	1.64711355	3.051441246	122.641034605556	106.6800112	131.3033262	18.59737393	16.77	21.35613082
"Forest "	8	"FH_acc"	210.963002081667	129.74	298.198521	0.00182171163333333	0.000785717	0.003478705	66.8527446251667	49.41729575	97.68537753	3.84689038125	3.026274009	5.377893765	118.176145233	57.8374739	164.5292338	22.349973694	16.68	31.98
"Grassland"	8	"FH_acc"	163.444132930556	150.4818174	178.96	0.00221139370277778	5.29767e-05	0.003996404	22.1430560472222	14.54402683	27.61060773	2.35405801880556	1.50486642	2.820009671	121.776701169444	105.9600169	130.5212894	18.59737393	16.77	21.35613082
"Forest "	9	"FH_acc"	208.272773463333	127.54	294.879648	0.00186092845	0.000788555	0.003675369	64.318736843	46.96052691	94.49597863	3.75550891505	2.920543184	5.278816011	118.143243990333	57.81823426	164.6508115	22.349973694	16.68	31.98
"Grassland"	9	"FH_acc"	159.934017269444	147.2175496	174.61	0.00244822460277778	6.77204e-05	0.004394336	19.6975182338889	12.70992469	25.00084725	2.18428202888889	1.376122162	2.660013767	120.881574997222	105.2100242	129.7104795	18.59737393	16.77	21.35613082
"Forest "	10	"FH_acc"	205.70171242	125.44	291.6621948	0.00190181651666667	0.000791647	0.003877021	61.9127600086667	44.72070997	91.41973012	3.66715421715	2.815100365	5.179520734	118.100477954667	57.79459988	164.7619769	22.349973694	16.68	31.98
"Grassland"	10	"FH_acc"	156.694665494444	144.1706715	170.62	0.00267859988888889	8.39862e-05	0.004780801	17.5345047933333	11.11521983	22.65113712	2.02690963647222	1.260194789	2.510018849	119.962771772222	104.4400334	128.8755644	18.59737393	16.77	21.35613082
"Forest "	11	"FH_acc"	203.242534668333	123.43	288.5464604	0.00194285026666667	0.000795	0.004076497	59.6272891496667	42.65795845	88.44686972	3.57921161743333	2.709919899	5.080007246	118.045911205	57.75041389	164.8627118	22.349973694	16.68	31.98
"Grassland"	11	"FH_acc"	153.697909188889	141.3217643	166.94	0.00318142111111111	0.000101719	0.010116057	15.6216352941111	9.728696471	20.53148058	1.88227709261111	1.156231655	2.360026256	119.022813986111	103.6500447	128.0206287	18.59737393	16.77	21.35613082
"Forest "	12	"FH_acc"	200.887522436667	121.51	285.5227329	0.00198364481666667	0.00079861	0.004272096	57.4529997408333	40.75238166	85.59762693	3.49389318731667	2.623906286	4.980275441	117.983771726833	57.70565488	164.9629988	22.349973694	16.68	31.98
"Grassland"	12	"FH_acc"	150.916361672222	138.6531631	163.54	0.00367976863888889	0.000120873	0.010136256	13.9297818357778	8.523251977	18.62188064	1.74921062988889	1.063298282	2.220034575	118.066623755556	102.8500584	127.1492422	18.59737393	16.77	21.35613082
"Forest "	13	"FH_acc"	198.629519936667	119.67	282.6012892	0.00202414371666667	0.00080247	0.004463672	55.3824324945	38.98408486	82.84222327	3.41107185605	2.538504245	4.881154733	117.912118340833	57.6557707	165.042821	22.349973694	16.68	31.98
"Grassland"	13	"FH_acc"	148.327937055556	136.1488131	160.39	0.00528542305555556	0.000141407	0.010159727	12.4315362226389	7.475349949	16.89234008	1.62814051427778	0.98043635	2.090044435	117.095732913889	102.0300746	126.264521	18.59737393	16.77	21.35613082
"Forest "	14	"FH_acc"	196.463263461667	117.91	279.772396	0.00273104438333333	0.000806576	0.01197645	53.4098249465	37.35316937	80.19087262	3.33028207113333	2.462304375	4.788535885	117.834507430333	57.59433783	165.1221622	22.349973694	16.68	31.98
"Grassland"	14	"FH_acc"	145.909832644444	133.7941339	157.45	0.00577669622222222	0.000163286	0.01018463	11.1052881185278	6.564546706	15.33286152	1.51641953055556	0.906702335	1.960056982	116.114155627778	101.2000937	125.369182	18.59737393	16.77	21.35613082
"Forest "	15	"FH_acc"	194.382545275	116.23	277.0263099	0.00310439561666667	0.000810922	0.011986351	51.5274431615	35.82973279	77.63378141	3.25005370821667	2.386352563	4.688983116	117.748659732667	57.52774244	165.1910068	22.349973694	16.68	31.98
"Grassland"	15	"FH_acc"	143.645585222222	131.5758924	154.71	0.0062651325	0.000186478	0.010209006	9.93157342775	5.773081146	13.92344737	1.41696180055556	0.841192271	1.850070419	115.12425645	100.3701158	124.4655919	18.59737393	16.77	21.35613082
"Forest "	16	"FH_acc"	192.38304433	114.62	274.3632779	0.00347757853333333	0.000815502	0.012105981	49.7305802141667	34.40386906	75.17114898	3.17291257918333	2.320301645	4.589180056	117.6569604125	57.45049928	165.24934	22.349973694	16.68	31.98
"Grassland"	16	"FH_acc"	141.5179775	129.4820846	152.14	0.00675109022222222	0.000212837	0.010234644	8.89196432572222	5.085519443	12.65409989	1.32492771138889	0.78305668	1.740085744	114.1281704325	99.53014118	123.5558102	18.59737393	16.77	21.35613082
"Forest "	17	"FH_acc"	190.458823841667	113.07	271.7835374	0.0041839685	0.000820313	0.012128344	48.0145547611667	33.06566868	72.80316772	3.09788088615	2.254152906	4.497613421	117.557625864	57.37259216	165.3033176	22.349973694	16.68	31.98
"Grassland"	17	"FH_acc"	139.513349083333	127.5018253	149.73	0.00723486913888889	0.000240576	0.010261519	7.97021764969444	4.488447207	11.5048212	1.24162426016667	0.731508594	1.640103062	113.127830609167	98.68017013	122.6416272	18.59737393	16.77	21.35613082
"Forest "	18	"FH_acc"	188.607828946667	111.59	269.287317	0.0050569354	0.00082535	0.012146814	46.3730430398333	31.80521875	70.51002342	3.02347762176667	2.187907753	4.405871427	117.454203770167	57.28400582	165.3508572	22.349973694	16.68	31.98
"Grassland"	18	"FH_acc"	137.618421808333	125.6252474	147.45	0.00771672447222222	0.005206354	0.01028961	7.154565733	3.970202692	10.46561328	1.16645609008333	0.685826815	1.550122474	112.123603629722	97.83020288	121.7245982	18.59737393	16.77	21.35613082
"Forest "	19	"FH_acc"	186.824217875	110.17	266.8648369	0.00526317698333333	0.000830609	0.012166061	44.8054109358333	30.63260317	68.31189541	2.95271892891667	2.131567703	4.306850852	117.345239850167	57.19472588	165.3978505	22.349973694	16.68	31.98
"Grassland"	19	"FH_acc"	135.822415758333	123.8434083	145.3	0.00791909602777778	0.005451083	0.010318896	6.43114556986111	3.520645559	9.526477965	1.09776199591667	0.645355958	1.460145968	111.119311276944	96.97023967	120.8060725	18.59737393	16.77	21.35613082
"Forest "	20	"FH_acc"	185.105859726667	108.81	264.5263086	0.00613605375	0.000836086	0.012187741	43.3047128046667	29.50790273	66.18895684	2.88278508558333	2.075134363	4.215404015	117.231444622167	57.10473881	165.4271005	22.349973694	16.68	31.98
"Grassland"	20	"FH_acc"	134.115288241667	122.1482046	143.26	0.00811995122222222	0.0056935	0.010349358	5.79106271530556	3.1309564	8.687416989	1.03559349772222	0.60950439	1.380170062	110.113916196944	96.11028076	119.8872199	18.59737393	16.77	21.35613082
"Forest "	21	"FH_acc"	183.449332493333	107.51	262.2419356	0.00700892276666667	0.000841779	0.012208571	41.8683570183333	28.46119521	64.14137488	2.8141874566	2.01860942	4.131686199	117.113526808833	57.00403191	165.4601464	22.349973694	16.68	31.98
"Grassland"	21	"FH_acc"	132.488205430556	120.5322943	141.32	0.00831945466666667	0.005933833	0.01038098	5.22303126672222	2.793462916	7.918431968	0.979769594611111	0.577740866	1.310196549	109.110983131667	95.26032639	118.9690533	18.59737393	16.77	21.35613082
"Forest "	22	"FH_acc"	181.850587788333	106.26	260.041914	0.00771513771666667	0.000847684	0.012231829	40.492604915	27.45255552	62.17931091	2.74793541373333	1.971716976	4.040563254	116.991193445833	56.90259325	165.4783379	22.349973694	16.68	31.98
"Grassland"	22	"FH_acc"	130.932912463889	118.9890251	139.46	0.00851775158333333	0.006172277	0.010413745	4.72019833483333	2.501489162	7.239524415	0.928763807305556	0.549590404	1.240225519	108.109249195	94.40037682	118.0524485	18.59737393	16.77	21.35613082
"Forest "	23	"FH_acc"	180.307782291667	105.06	257.8964323	0.00792138341666667	0.000853798	0.012254192	39.1752364698333	26.5120558	60.27292076	2.68336989593333	1.915561545	3.9498692	116.864816572	56.79041166	165.5001079	22.349973694	16.68	31.98
"Grassland"	23	"FH_acc"	129.443334052778	117.5123694	137.69	0.00871496997222222	0.006409008	0.010447638	4.27448401072222	2.249224786	6.610695745	0.882757245944444	0.524629817	1.180257059	107.110692468889	93.54043231	117.1381619	18.59737393	16.77	21.35613082
"Forest "	24	"FH_acc"	178.81910932	103.91	255.8256716	0.00812767595	0.000860118	0.012277278	37.91221603	25.60976552	58.45235486	2.62099694435	1.868765415	3.866995933	116.7350999865	56.67747671	165.5071987	22.349973694	16.68	31.98
"Grassland"	24	"FH_acc"	128.012738377778	116.0968657	135.99	0.00891122441666667	0.006644181	0.010482645	3.88010146475	2.031611584	6.051947282	0.840580212166667	0.502483138	1.120294206	106.116376729444	92.69049311	116.226846	18.59737393	16.77	21.35613082
"Forest "	25	"FH_acc"	177.37996383	102.8	253.8098066	0.00866736283333333	0.000866643	0.012301079	36.7025247553333	24.74575155	56.68775846	2.56015455013333	1.83137297	3.784591668	116.601246020333	56.56377863	165.5107107	22.349973694	16.68	31.98
"Grassland"	25	"FH_acc"	126.636185291667	114.7375646	134.35	0.00910661675	0.006877935	0.010518752	3.53097764211111	1.844245062	5.543280263	0.803042535194444	0.482817141	1.070328188	105.125905885	91.83055947	115.3190621	18.59737393	16.77	21.35613082
"Forest "	26	"FH_acc"	175.98944076	101.74	251.8590051	0.00887379006666667	0.000873369	0.012325587	35.5424931215	23.93007832	54.98927179	2.50034614871667	1.784423943	3.702002958	116.465622222833	56.44930834	165.5135967	22.349973694	16.68	31.98
"Grassland"	26	"FH_acc"	125.307424966667	113.4299798	132.77	0.00930123866666667	0.007110394	0.010555945	3.22235081	1.683289	5.094695846	0.769041669111111	0.465337048	1.020371356	104.140766143889	90.98063167	114.4152925	18.59737393	16.77	21.35613082
