Month	Year	Monthly_temp	Monthly_precip
1	1981	3.308064516	273.6
2	1981	1.847857143	34.7
3	1981	3.879032258	57.8
4	1981	5.103666667	18.2
5	1981	8.867419355	39.7
6	1981	10.312	63.1
7	1981	12.12258065	77.5
8	1981	12.70354839	22.3
9	1981	11.21766667	134.1
11	1981	4.718666667	110.1
12	1981	-1.746774194	41.8
1	1982	3.961935484	253.7
2	1982	3.220357143	42.4
3	1982	3.609677419	98.5
4	1982	6.204	32.1
5	1982	7.90483871	64.4
6	1982	10.60833333	30.9
7	1982	13.19064516	42.1
8	1982	12.39806452	130.8
9	1982	10.129	114.5
11	1982	4.293666667	128.3
12	1982	1.575806452	113.6
1	1983	5.5	290.6
2	1983	0.303928571	57.6
3	1983	4.332903226	68.5
4	1983	3.644666667	58.8
5	1983	7.000967742	101
6	1983	10.26233333	56.4
7	1983	14.04193548	25.7
8	1983	13.90516129	22.8
9	1983	9.766	122.2
11	1983	5.105	27.5
12	1983	3.802903226	124.5
1	1984	3.615967742	248.8
2	1984	2.476551724	66.2
3	1984	2.740645161	69.2
4	1984	5.740333333	20.7
5	1984	7.657096774	17.6
6	1984	11.17633333	41.6
7	1984	13.43741935	51.3
8	1984	13.45354839	43.3
9	1984	9.577333333	133.9
11	1984	5.379666667	178
12	1984	3.651290323	79.7
1	1985	3.946290323	102.7
2	1985	1.461785714	22
3	1985	2.359677419	66.7
4	1985	5.243666667	74.4
5	1985	7.777419355	77.4
6	1985	9.52	112.8
7	1985	12.23064516	79
8	1985	11.29483871	121
9	1985	9.848666667	89.3
11	1985	1.062333333	117.9
12	1985	2.735806452	101.7
1	1986	4.314193548	238.7
2	1986	-1.381071429	33.2
3	1986	3.183225806	76.6
4	1986	3.29	45.2
5	1986	8.213548387	79.3
6	1986	10.90433333	64.3
7	1986	12.03129032	57.9
8	1986	10.10645161	110.7
9	1986	8.837666667	43.2
11	1986	5.036	78.1
12	1986	2.586774194	149.9
1	1987	2.948870968	113.2
2	1987	1.44	52.3
3	1987	1.911612903	93.1
4	1987	6.526	49.9
5	1987	7.287741935	70.2
6	1987	8.989666667	95.2
7	1987	12.42354839	72.2
8	1987	11.81419355	72.2
9	1987	9.886333333	62
11	1987	4.287666667	70.4
12	1987	2.918387097	50.3
1	1988	4.68516129	220.5
2	1988	2.566551724	92.3
3	1988	2.965806452	102.3
4	1988	5.29	63
5	1988	8.470322581	39.7
6	1988	11.82766667	19.3
7	1988	11.86741935	127.2
8	1988	12.12935484	99.3
9	1988	10.488	62
11	1988	4.019333333	51.3
12	1988	5.261935484	57.4
1	1989	6.891774194	193.4
2	1989	3.151428571	183.3
3	1989	3.788709677	112.8
4	1989	4.122333333	51.6
5	1989	8.75516129	50.4
6	1989	10.69333333	58.9
7	1989	13.94322581	29.7
8	1989	12.27709677	81.1
9	1989	10.02233333	53.4
11	1989	4.129333333	16.6
12	1989	0.656129032	38.5
1	1990	5.922419355	261.1
2	1990	3.633571429	214.8
3	1990	5.577096774	150.2
4	1990	5.451333333	49
5	1990	8.83516129	37.7
6	1990	10.56833333	109.6
7	1990	12.63290323	32.3
8	1990	13.14064516	76.5
9	1990	9.499666667	84.4
11	1990	3.946666667	69.9
12	1990	2.497419355	144.3
1	1991	4.20983871	209.2
2	1991	0.701428571	52
3	1991	4.684516129	65.1
4	1991	5.626	69.3
5	1991	8.537096774	45.6
6	1991	9.191666667	161.6
7	1991	13.91483871	48.2
8	1991	13.5716129	31.2
9	1991	10.33333333	77.1
11	1991	4.23	130.7
12	1991	3.084516129	78.1
1	1992	3.648870968	180.4
2	1992	3.452413793	56.7
3	1992	4.261290323	109
4	1992	5.517	64.2
5	1992	9.567096774	53.3
6	1992	12.25466667	35.8
7	1992	12.17612903	28.4
8	1992	11.37354839	111.4
9	1992	9.802666667	104
11	1992	3.886333333	120.3
12	1992	1.546774194	99.7
1	1993	4.024677419	392
2	1993	4.433571429	34.4
3	1993	4.127096774	61.4
4	1993	5.961666667	34.4
5	1993	7.458709677	87.2
6	1993	10.81933333	46.4
7	1993	11.30612903	50.2
8	1993	11.01258065	43.3
9	1993	9.226	57.9
11	1993	2.506333333	21.5
12	1993	0.845483871	124.9
1	1994	4.403548387	219.2
2	1994	0.854285714	49.6
3	1994	3.278387097	184.1
4	1994	4.829333333	101.1
5	1994	7.041935484	15.9
6	1994	10.593	58.7
7	1994	13.22193548	20.8
8	1994	11.8383871	48.3
9	1994	9.455333333	68.6
11	1994	6.993666667	73.4
12	1994	3.244516129	132.8
1	1995	5.489516129	268.6
2	1995	2.366428571	112.6
3	1995	2.126129032	91.4
4	1995	5.382666667	51.8
5	1995	7.932580645	92.6
6	1995	10.947	37
7	1995	13.74451613	46.6
8	1995	14.45032258	26.5
9	1995	10.427	244.7
11	1995	5.528	57.5
12	1995	-0.452258065	22
1	1996	6.178225806	189.8
2	1996	1.307241379	99.1
3	1996	2.525806452	33.1
4	1996	5.942	46.3
5	1996	6.276774194	48.1
6	1996	11.03733333	25.1
7	1996	12.14580645	47.1
8	1996	13.2016129	63.1
9	1996	11.04466667	20.5
11	1996	2.46	110.9
12	1996	1.399354839	64.4
1	1997	4.602741935	46.1
2	1997	3.408214286	174.3
3	1997	5.446129032	106.8
4	1997	6.346333333	35.3
5	1997	7.697419355	73.5
6	1997	10.30533333	114.3
7	1997	13.38580645	69
8	1997	14.49580645	38.1
9	1997	10.22933333	40.8
11	1997	6.460333333	90.1
12	1997	3.89516129	79.8
1	1998	4.424193548	241.1
2	1998	6.148571429	80.5
3	1998	4.542903226	71.3
4	1998	4.375666667	119.4
5	1998	8.871612903	47.9
6	1998	9.867666667	85.5
7	1998	11.59548387	104
8	1998	11.94967742	74.6
9	1998	11.07966667	42.2
11	1998	3.771333333	101.1
12	1998	3.501290323	121.1
1	1999	5.256290323	213.4
2	1999	2.286785714	111.7
3	1999	4.074193548	71.6
4	1999	6.205333333	76.9
5	1999	8.761612903	79.6
6	1999	10.10533333	94.8
7	1999	12.90032258	63.5
8	1999	11.92870968	44.6
9	1999	11.863	102
11	1999	5.209666667	128.4
12	1999	1.248064516	181.4
1	2000	5.383225806	286.2
2	2000	3.104482759	144.9
3	2000	4.888387097	58.4
4	2000	4.575666667	173.1
5	2000	8.532580645	61.2
6	2000	9.934666667	30.5
7	2000	11.76387097	53.9
8	2000	12.55483871	95
9	2000	10.98266667	67.7
11	2000	3.934666667	124.3
12	2000	2.830322581	89
1	2001	5.416774194	228.4
2	2001	1.185714286	80.1
3	2001	1.630322581	57.6
4	2001	4.629	48.9
5	2001	9.492580645	22.4
6	2001	9.899	58.6
7	2001	12.26548387	81.3
8	2001	12.26935484	79.2
9	2001	9.915333333	57.9
11	2001	5.513	87.8
12	2001	1.489032258	66.4
1	2002	4.787096774	268.1
2	2002	2.814285714	154.3
3	2002	4.263870968	83.9
4	2002	6.306	56.1
5	2002	8.809354839	61.7
6	2002	11.21766667	48.5
7	2002	11.91645161	138.5
8	2002	13.27935484	74.2
9	2002	10.93533333	29.8
11	2002	5.612	119
12	2002	3.088064516	27.6
1	2003	4.060322581	193.4
2	2003	2.025357143	35.3
3	2003	4.803548387	60.3
4	2003	7.153333333	33.3
5	2003	8.456774194	81.8
6	2003	12.287	28.6
7	2003	14.17612903	30.3
8	2003	13.51935484	34.8
9	2003	10.83766667	48.5
11	2003	5.826666667	70
12	2003	2.678064516	108.5
1	2004	5.013225806	270.1
2	2004	2.364137931	69.2
3	2004	4.000322581	62.7
4	2004	6.708666667	113.5
5	2004	9.143548387	49.5
6	2004	11.223	94
7	2004	11.99258065	42.1
8	2004	13.40548387	130.3
9	2004	10.93533333	59.5
11	2004	5.445333333	70.8
12	2004	3.867419355	107.4
1	2005	6.498387097	314.7
2	2005	2.352142857	117.6
3	2005	4.788709677	68.5
4	2005	5.844666667	63
5	2005	7.334193548	89.2
6	2005	11.58333333	72.8
7	2005	12.73645161	24
8	2005	12.32709677	92.1
9	2005	11.21166667	39.1
11	2005	4.099666667	172.8
12	2005	3.244516129	40.8
1	2006	6.019516129	167.4
2	2006	2.426071429	47.9
3	2006	1.649677419	61.4
4	2006	4.895	42.4
5	2006	7.857741935	60.9
6	2006	11.969	43.7
7	2006	14.96677419	41.9
8	2006	12.52193548	37.9
9	2006	12.41733333	75.3
11	2006	5.649333333	145.9
12	2006	3.696129032	180.9
1	2007	6.429032258	163.2
2	2007	3.401785714	62.9
3	2007	4.560322581	83.6
4	2007	8.234666667	10.5
5	2007	7.932903226	108.9
6	2007	10.79666667	80.1
7	2007	11.90580645	110.7
8	2007	11.77483871	88.8
9	2007	10.005	57.6
11	2007	5.491333333	133.6
12	2007	2.502580645	97.2
1	2008	4.587419355	351.9
2	2008	3.502068966	106
3	2008	2.768387097	101.6
4	2008	4.981	90.1
5	2008	9.69483871	22
6	2008	10.61533333	54.1
7	2008	13.19483871	68.8
8	2008	12.67870968	85.8
9	2008	10.46233333	66.6
11	2008	4.118666667	91.5
12	2008	1.672258065	69.3
1	2009	5.285806452	181.1
2	2009	2.381785714	51.7
3	2009	4.306451613	97.4
4	2009	7.005333333	34.9
5	2009	8.576451613	62.2
6	2009	11.10566667	76.7
7	2009	13.02645161	112.9
8	2009	12.82967742	73.2
9	2009	11.10366667	94.7
11	2009	4.743666667	164.8
12	2009	-0.521935484	84.4
1	2010	3.482096774	161.7
2	2010	-0.522857143	70.3
3	2010	3.03483871	72.5
4	2010	5.865666667	51.3
5	2010	7.511612903	46.2
6	2010	11.89	36.8
7	2010	12.4716129	109
8	2010	11.5883871	96.2
9	2010	10.401	106.8
11	2010	2.163	124.9
12	2010	-2.868709677	29.4
1	2011	5.179032258	174
2	2011	2.983214286	75.7
3	2011	3.843225806	92.2
4	2011	8.356666667	29.9
5	2011	8.560645161	86.2
6	2011	10.12966667	65.8
7	2011	11.9616129	94.2
8	2011	11.26903226	114.8
9	2011	11.082	82.2
11	2011	7.157333333	98.8
12	2011	2.410967742	135.6
1	2012	3.703064516	179.9
2	2012	3.891034483	35.3
3	2012	6.336451613	15.7
4	2012	4.111333333	156.3
5	2012	7.61483871	72.7
6	2012	9.464666667	63.2
7	2012	11.42387097	97.6
8	2012	12.5416129	69.3
9	2012	9.638	58
11	2012	3.897666667	50
12	2012	1.63	80.8
1	2013	5.48	145.1
2	2013	1.351785714	44.7
3	2013	0.548387097	27.2
4	2013	4.136	58.4
5	2013	7.668709677	88.8
6	2013	10.98066667	41.2
7	2013	14.52193548	36.4
8	2013	12.83096774	42.6
9	2013	10.36266667	43
11	2013	3.538333333	85.4
12	2013	4.499354839	204.4
1	2014	5.765967742	276.8
2	2014	3.292142857	96
3	2014	4.851290323	50.2
4	2014	6.996666667	26.9
5	2014	8.93	70.7
6	2014	12.17266667	71.6
7	2014	13.77451613	40.5
8	2014	11.32129032	185.5
9	2014	11.70166667	30
11	2014	5.974666667	88.5
12	2014	2.34	127.8
1	2015	4.961774194	228.2
2	2015	2.428571429	57.5
3	2015	3.669354839	80.4
4	2015	5.571666667	67.1
5	2015	6.733548387	66
6	2015	9.942333333	65.4
7	2015	11.48709677	94.6
8	2015	12.27483871	58.7
9	2015	9.998666667	50.4
11	2015	5.34	99.5
12	2015	4.671290323	246.1
1	2016	4.13	13.4
